dataset,image_id,candidate_pixels,candidate_pixels_selected_k,candidate_target_leakage_pixels,candidate_far_bg_ratio,candidate_high_evidence_mean,candidate_ohem_overlap_fraction,target_dilate_pixels,far_bg_pixels
NUDT-SIRST,000844,654,654,0,1.0,6.990836709519499e-07,0.8191933240611962,684,64852
NUDT-SIRST,001177,655,655,0,1.0,1.6499694538651966e-05,0.9436201780415431,867,64669
NUDT-SIRST,000934,654,654,0,1.0,1.6908130419324152e-05,0.8739255014326648,587,64949
NUDT-SIRST,000663,654,654,0,1.0,1.25752349049435e-05,0.8956521739130435,682,64854
NUDT-SIRST,000841,654,654,0,1.0,2.524872797948774e-06,0.8319327731092437,698,64838
NUDT-SIRST,000205,654,654,0,1.0,4.10613711210317e-06,0.8526912181303116,707,64829
NUDT-SIRST,000911,654,654,0,1.0,3.0976209473010385e-06,0.8041379310344827,597,64939
NUDT-SIRST,000211,654,654,0,1.0,9.176710591418669e-06,0.8820143884892087,804,64732
NUDT-SIRST,000267,654,654,0,1.0,4.07817924497067e-06,0.8793103448275862,1199,64337
NUDT-SIRST,000379,655,655,0,1.0,1.920807335409336e-06,0.9969512195121951,285,65251
NUDT-SIRST,000168,654,654,0,1.0,2.9574216569017153e-06,0.8605974395448079,687,64849
NUDT-SIRST,000301,654,654,0,1.0,4.168423856754089e-06,0.9377777777777778,575,64961
NUDT-SIRST,001061,654,654,0,1.0,1.7047521396307275e-05,0.8345021037868162,650,64886
NUDT-SIRST,001299,654,654,0,1.0,0.0001608941820450127,0.9493293591654247,625,64911
NUDT-SIRST,000818,655,655,0,1.0,1.2353953025012743e-06,0.9124087591240876,354,65182
NUDT-SIRST,001070,654,654,0,1.0,6.954187483643182e-06,0.8345021037868162,622,64914
NUDT-SIRST,001305,655,655,0,1.0,2.12294298762572e-06,0.9788519637462235,381,65155
NUDT-SIRST,001095,654,654,0,1.0,2.7560572561924346e-06,0.8422535211267606,579,64957
NUDT-SIRST,000695,655,655,0,1.0,4.542093302006833e-05,0.8169209431345353,387,65149
NUDT-SIRST,000375,655,655,0,1.0,3.5808905067824526e-06,0.9848484848484849,570,64966
NUDT-SIRST,000061,655,655,0,1.0,3.4724880606518127e-06,0.779891304347826,1156,64380
NUDT-SIRST,000669,654,654,0,1.0,3.901898708136287e-06,0.8553191489361702,754,64782
NUDT-SIRST,000325,655,655,0,1.0,1.6821210238049389e-06,0.9728915662650602,855,64681
NUDT-SIRST,000864,654,654,0,1.0,2.215316635556519e-05,0.9094890510948905,677,64859
NUDT-SIRST,000174,654,654,0,1.0,3.934966298402287e-05,0.9011627906976745,720,64816
NUDT-SIRST,000347,655,655,0,1.0,2.4522505555069074e-06,0.9939117199391172,285,65251
NUDT-SIRST,000748,654,654,0,1.0,6.89165335643338e-06,0.8242677824267782,735,64801
NUDT-SIRST,000946,654,654,0,1.0,2.984672573802527e-05,0.8345021037868162,682,64854
NUDT-SIRST,001274,654,654,0,1.0,3.711180033860728e-05,0.920704845814978,569,64967
NUDT-SIRST,001059,654,654,0,1.0,3.437566556385718e-05,0.8526912181303116,587,64949
NUDT-SIRST,000253,654,654,0,1.0,6.075908913771855e-06,0.9039301310043668,572,64964
NUDT-SIRST,000679,654,654,0,1.0,0.011699531227350235,0.8091286307053942,684,64852
NUDT-SIRST,001041,654,654,0,1.0,1.3721463801630307e-05,0.8422535211267606,627,64909
NUDT-SIRST,000999,654,654,0,1.0,2.7420843252912164e-05,0.8500707213578501,661,64875
NUDT-SIRST,000794,655,655,0,1.0,3.0527326089213602e-06,0.8848920863309353,323,65213
NUDT-SIRST,000576,654,654,0,1.0,0.0016352984821423888,0.9728506787330317,535,65001
NUDT-SIRST,001094,654,654,0,1.0,1.798922494344879e-05,0.703125,677,64859
NUDT-SIRST,000635,655,655,0,1.0,6.856120762677165e-06,0.9208211143695014,646,64890
NUDT-SIRST,000825,655,655,0,1.0,1.071837459676317e-06,0.9013062409288825,355,65181
NUDT-SIRST,000013,655,655,0,1.0,1.4182416634866968e-05,0.6881443298969072,578,64958
NUDT-SIRST,000627,655,655,0,1.0,4.792292656929931e-06,0.9013062409288825,660,64876
NUDT-SIRST,000487,654,654,0,1.0,5.431116733234376e-06,0.8579545454545454,612,64924
NUDT-SIRST,001201,655,655,0,1.0,3.503802645354881e-06,0.9818456883509834,289,65247
NUDT-SIRST,000457,653,653,0,1.0,1.5934743714751676e-05,0.844632768361582,1127,64409
NUDT-SIRST,000916,654,654,0,1.0,9.231505828211084e-06,0.8242677824267782,669,64867
NUDT-SIRST,000030,655,655,0,1.0,4.224646545480937e-06,0.9669669669669669,289,65247
NUDT-SIRST,000109,655,655,0,1.0,6.156903964438243e-06,0.8169209431345353,662,64874
NUDT-SIRST,000693,655,655,0,1.0,5.728724318032619e-06,0.9293078055964654,373,65163
NUDT-SIRST,000183,654,654,0,1.0,3.466371254035039e-06,0.8396624472573839,779,64757
NUDT-SIRST,000467,654,654,0,1.0,3.136930672553717e-06,0.871244635193133,1080,64456
NUDT-SIRST,001164,655,655,0,1.0,1.2771893125318456e-06,0.9436201780415431,221,65315
NUDT-SIRST,001258,654,654,0,1.0,0.00011725923832273111,0.9377777777777778,535,65001
NUDT-SIRST,000970,654,654,0,1.0,2.270837103424128e-05,0.847457627118644,627,64909
NUDT-SIRST,000263,654,654,0,1.0,9.514809562460869e-07,0.9011627906976745,600,64936
NUDT-SIRST,000858,654,654,0,1.0,4.762705430039205e-06,0.8984034833091437,731,64805
NUDT-SIRST,000668,654,654,0,1.0,7.449651093338616e-06,0.9150805270863837,684,64852
NUDT-SIRST,000526,655,655,0,1.0,1.8022958101937547e-05,0.91800878477306,411,65125
NUDT-SIRST,000736,654,654,0,1.0,2.7449680146673927e-06,0.8632478632478633,804,64732
NUDT-SIRST,001146,655,655,0,1.0,4.976562308911525e-07,0.9407407407407408,289,65247
NUDT-SIRST,000247,654,654,0,1.0,9.643566045269836e-06,0.9067055393586005,715,64821
NUDT-SIRST,000367,655,655,0,1.0,2.1783503143524285e-06,0.9969512195121951,285,65251
NUDT-SIRST,000050,655,655,0,1.0,1.1296332559140865e-05,0.9788519637462235,289,65247
NUDT-SIRST,000773,655,655,0,1.0,1.8888055137722404e-06,0.8714285714285714,642,64894
NUDT-SIRST,000318,654,654,0,1.0,2.809287934724125e-06,0.9435364041604755,537,64999
NUDT-SIRST,001163,655,655,0,1.0,1.6815681647130987e-07,0.9523099850968704,289,65247
NUDT-SIRST,001159,655,655,0,1.0,4.22927342924595e-07,0.8903318903318903,289,65247
NUDT-SIRST,001306,655,655,0,1.0,3.3386002087354427e-06,0.9818456883509834,334,65202
NUDT-SIRST,001310,655,655,0,1.0,1.7247283494725707e-06,0.9848484848484849,353,65183
NUDT-SIRST,000571,654,654,0,1.0,4.121745587326586e-05,0.8217270194986073,667,64869
NUDT-SIRST,001031,654,654,0,1.0,2.5797116904868744e-06,0.8319327731092437,650,64886
NUDT-SIRST,000461,654,654,0,1.0,1.6684607544448227e-05,0.9406528189910979,537,64999
NUDT-SIRST,000652,655,655,0,1.0,5.090444119559834e-06,0.9236417033773862,680,64856
NUDT-SIRST,000444,653,653,0,1.0,7.90438298281515e-06,0.8394366197183099,1280,64256
NUDT-SIRST,001194,655,655,0,1.0,2.6299576916244405e-07,0.9264705882352942,289,65247
NUDT-SIRST,001156,655,655,0,1.0,5.452155278362625e-07,0.9407407407407408,204,65332
NUDT-SIRST,000014,655,655,0,1.0,6.908730370014382e-07,0.9699248120300752,289,65247
NUDT-SIRST,000250,654,654,0,1.0,3.994732651335653e-06,0.9178885630498533,715,64821
NUDT-SIRST,000134,654,654,0,1.0,3.977129381382838e-06,0.8929088277858177,546,64990
NUDT-SIRST,001301,654,654,0,1.0,0.000287818955257535,0.9580838323353293,612,64924
NUDT-SIRST,000768,655,655,0,1.0,1.710048991299118e-06,0.8687589158345221,540,64996
NUDT-SIRST,000823,654,654,0,1.0,1.1681478326863726e-06,0.7747625508819539,696,64840
NUDT-SIRST,000040,655,655,0,1.0,4.754353085445473e-06,0.9552238805970149,289,65247
NUDT-SIRST,000891,654,654,0,1.0,8.738185897527728e-06,0.8685714285714285,612,64924
NUDT-SIRST,000561,654,654,0,1.0,1.437115679436829e-05,0.9263622974963182,600,64936
NUDT-SIRST,001200,655,655,0,1.0,2.3747768409521086e-06,0.9640179910044977,255,65281
NUDT-SIRST,001233,655,655,0,1.0,3.7566992432402913e-06,0.9581464872944694,289,65247
NUDT-SIRST,000119,655,655,0,1.0,4.274579987395555e-05,0.8502824858757062,692,64844
