image_id,neg_pixels,target_leakage_neg_pixels,far_bg_valid_ratio,evidence_prob_on_neg_mean,evidence_prob_on_target_mean,evidence_prob_on_easy_bg_mean,selected_k
000601,512,0,0.99542236328125,0.00025853858096525073,0.9959785342216492,8.131460162985604e-07,512
001040,512,0,0.992919921875,8.606082701589912e-06,0.9463098049163818,8.834562237325372e-08,512
000735,512,0,0.9961700439453125,2.094667433993891e-05,0.8189069628715515,7.304315374767612e-08,512
001029,512,0,0.9917755126953125,5.433699698187411e-06,0.9654141068458557,1.8411701319109852e-07,512
000623,512,0,0.9970245361328125,1.1211603123228997e-05,0.9892691969871521,8.587327471332173e-08,512
000436,512,0,0.9940643310546875,8.137856639223173e-06,0.9795506000518799,3.742841769849292e-08,512
001242,512,0,0.98968505859375,4.940509825246409e-06,0.9983603954315186,8.401296014426407e-08,512
000813,512,0,0.99462890625,2.236368800367927e-06,0.8088266849517822,2.4940193910083508e-08,512
000493,512,0,0.98748779296875,3.84414815925993e-05,0.8847226500511169,4.624011040732512e-08,512
001053,512,0,0.9940948486328125,2.3859716748120263e-05,0.9704985022544861,3.794377434473972e-08,512
000410,512,0,0.993988037109375,5.292383320920635e-06,0.9932040572166443,6.409203479051939e-08,512
000936,512,0,0.994110107421875,8.387721209146548e-06,0.9931500554084778,2.669741583360974e-08,512
000473,512,0,0.9940948486328125,2.501671770005487e-05,0.9966871738433838,1.2169829233243945e-07,512
000478,512,0,0.9873809814453125,1.3446623597701546e-05,0.9535298347473145,4.898157612842624e-08,512
000458,512,0,0.9935760498046875,1.237565629708115e-05,0.99382084608078,6.97288484730052e-08,512
000709,512,0,0.9938812255859375,8.745289960643277e-06,0.8851834535598755,8.801350759313209e-08,512
001307,512,0,0.9961700439453125,5.178485480428208e-06,0.8382760286331177,6.392355089701596e-08,512
000781,512,0,0.9937744140625,1.9553822312445845e-06,0.8132166266441345,2.5251379653923323e-08,512
001023,512,0,0.9938812255859375,1.6239002434303984e-05,0.9903799891471863,1.00922278534199e-07,512
001004,512,0,0.9925689697265625,1.5529774827882648e-05,0.9527595043182373,1.5678749321068608e-07,512
000359,512,0,0.9974822998046875,3.334339453431312e-06,0.9999085664749146,3.34762191300797e-08,512
000287,512,0,0.9930877685546875,3.4769770991260884e-06,0.9643624424934387,4.198228964469308e-08,512
000482,512,0,0.9929351806640625,0.00010538129572523758,0.9509902000427246,2.496711104527094e-08,512
000941,512,0,0.9935302734375,1.2943939509568736e-05,0.9546826481819153,1.1577795788753065e-07,512
000067,512,0,0.9974212646484375,1.0430446764075896e-06,0.999395489692688,5.058383489853213e-09,512
000284,512,0,0.9929351806640625,3.7092622733325697e-06,0.8834282755851746,3.614109189697956e-08,512
000447,512,0,0.9930877685546875,8.582003829360474e-06,0.977188766002655,3.5207889936827996e-08,512
000894,512,0,0.993133544921875,4.520649781625252e-06,0.931358277797699,7.641404664582296e-08,512
000163,512,0,0.99322509765625,4.726135557575617e-06,0.8719774484634399,3.8982925332220475e-08,512
000059,512,0,0.98968505859375,2.4403989300481044e-06,0.9995741248130798,1.4103251011476914e-08,512
001222,512,0,0.9974212646484375,1.9522474303812487e-06,0.9989722371101379,1.0077365431016005e-07,512
000945,512,0,0.9943695068359375,7.230672053992748e-05,0.9793699383735657,8.494592407259915e-08,512
000446,512,0,0.9943084716796875,2.4185821530409157e-05,0.9985828399658203,4.111306850518304e-08,512
000193,512,0,0.992584228515625,8.464557140541729e-06,0.8882505297660828,6.9330198471107e-08,512
000746,512,0,0.991180419921875,4.582781002682168e-06,0.8386859893798828,5.98182694488969e-08,512
000733,512,0,0.9922027587890625,6.490005262094201e-07,0.8437296152114868,3.0283196394975676e-08,512
000621,512,0,0.99407958984375,2.1564090275205672e-05,0.7913669943809509,6.259168827682515e-08,512
001131,512,0,0.98968505859375,8.214977924581035e-07,0.9962716698646545,4.31115365628898e-09,512
000085,512,0,0.9974212646484375,1.7898885289469035e-06,0.9991077780723572,1.3129014320156784e-08,512
000064,512,0,0.998016357421875,3.748681592696812e-06,0.9990469813346863,1.3783747476736607e-08,512
000312,512,0,0.9935760498046875,3.167586328345351e-06,0.9865818023681641,3.989551444760764e-08,512
000213,512,0,0.9921722412109375,1.0539696631894913e-05,0.8641958236694336,6.140763986195452e-08,512
