image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000840,0.7674418604651163,0.7111111111111111,1.0,1.0,0.9166666666666666,0.8648648648648649,45.7763671875,76.2939453125,0,0,2,2,0,0,2,2,0.83730149269104,1.0,1.0,0,0.72235107421875
000737,0.704225352112676,0.7123287671232876,1.0,1.0,0.8620689655172413,0.8387096774193549,122.0703125,152.587890625,0,0,2,2,0,0,2,2,0.027081981301307678,0.0,1.0,0,0.578457236289978
000740,0.6986301369863014,0.7066666666666667,1.0,1.0,0.85,0.828125,137.3291015625,167.8466796875,0,0,2,2,0,0,1,2,0.38545894622802734,0.0,1.0,0,0.6050318479537964
000909,0.8080808080808081,0.7920792079207921,1.0,1.0,0.8247422680412371,0.8080808080808081,259.3994140625,289.9169921875,1,1,2,2,0,0,1,0,0.4312322735786438,0.0,0.9999999403953552,2,0.7192007303237915
000867,0.7083333333333334,0.7058823529411765,1.0,1.0,1.0,0.9230769230769231,0.0,45.7763671875,0,0,3,2,0,0,1,3,0.4797535836696625,0.0,1.0,0,0.45824846625328064
000405,0.625,0.7,1.0,1.0,0.7575757575757576,0.7777777777777778,122.0703125,122.0703125,0,0,2,2,2,1,1,2,0.8722561001777649,1.0,1.0,0,0.5015345215797424
000781,0.6052631578947368,0.5641025641025641,1.0,1.0,0.696969696969697,0.6666666666666666,152.587890625,167.8466796875,0,0,2,2,1,1,1,2,0.630101203918457,0.5,0.6785714626312256,0,0.7064878344535828
000508,0.912,0.8976377952755905,1.0,1.0,0.9661016949152542,0.95,61.03515625,91.552734375,0,0,2,2,0,0,1,2,0.5814383029937744,1.0,0.9999999403953552,0,0.778110146522522
000225,0.6904761904761905,0.7142857142857143,1.0,1.0,0.8055555555555556,0.8108108108108109,213.623046875,213.623046875,0,0,2,2,2,2,1,2,0.47148066759109497,0.0,0.9285714626312256,0,0.7922743558883667
000574,0.9482758620689655,0.9322033898305084,1.0,1.0,0.9482758620689655,0.9322033898305084,45.7763671875,61.03515625,0,0,2,2,1,1,0,2,0.7891871333122253,1.0,0.9999999403953552,0,0.8107643127441406
000510,0.8028169014084507,0.9047619047619048,1.0,1.0,0.8142857142857143,0.9193548387096774,198.3642578125,76.2939453125,2,0,2,2,10,2,0,2,0.5865779519081116,1.0,1.0,0,0.7021006941795349
000449,0.9758064516129032,0.968,1.0,1.0,0.9758064516129032,0.968,45.7763671875,61.03515625,0,0,2,2,1,1,0,2,0.5504317879676819,0.5,0.9999999403953552,0,0.7658897042274475
000908,0.825,0.8170731707317073,1.0,1.0,0.9166666666666666,0.8933333333333333,91.552734375,122.0703125,1,1,2,2,0,0,0,0,0.37358587980270386,0.0,1.0,1,0.5997936725616455
000980,0.8461538461538461,0.8048780487804879,1.0,1.0,0.868421052631579,0.825,76.2939453125,106.8115234375,0,0,2,2,0,0,0,2,0.8481768369674683,1.0,0.7352941036224365,0,0.6810439229011536
000687,0.72,0.7647058823529411,1.0,1.0,0.8181818181818182,0.8125,122.0703125,137.3291015625,0,0,2,2,1,1,0,2,0.6143826842308044,0.5,0.9047619104385376,0,0.5944596529006958
000535,1.0,0.9393939393939394,1.0,1.0,1.0,0.9393939393939394,0.0,30.517578125,0,0,2,2,0,0,0,2,0.4570857584476471,0.0,1.0,0,0.6796252727508545
000506,0.6016260162601627,0.6842105263157895,1.0,1.0,0.6491228070175439,0.7155963302752294,610.3515625,473.0224609375,1,0,5,2,14,1,0,4,0.6434430480003357,1.0,0.9999999403953552,0,0.6325476169586182
000563,0.8769230769230769,0.8923076923076924,1.0,1.0,0.890625,0.8923076923076924,106.8115234375,106.8115234375,1,1,2,2,2,1,0,2,0.7526633143424988,1.0,1.0,1,0.7526910901069641
000957,0.6595744680851063,0.6530612244897959,0.0,0.0,1.0,0.9411764705882353,0.0,30.517578125,0,0,2,2,0,0,0,2,0.42594513297080994,0.0,0.7659574151039124,0,0.34263113141059875
000839,0.673469387755102,0.66,1.0,1.0,0.7857142857142857,0.7674418604651163,137.3291015625,152.587890625,0,0,2,2,1,1,0,2,0.4659772217273712,0.5,1.0,0,0.6629317402839661
000811,0.8,0.7567567567567568,1.0,1.0,0.9655172413793104,0.9032258064516129,15.2587890625,45.7763671875,0,0,2,2,0,0,0,2,0.8806494474411011,1.0,1.0,0,0.8312474489212036
000493,0.8695652173913043,0.8723404255319149,1.0,1.0,0.9836065573770492,0.9609375,30.517578125,76.2939453125,0,0,3,2,0,0,0,3,0.6065182685852051,1.0,1.0,0,0.7356906533241272
000478,0.9054054054054054,0.8933333333333333,1.0,1.0,0.9370629370629371,0.9241379310344827,137.3291015625,167.8466796875,0,0,2,2,0,0,0,2,0.6159011721611023,1.0,1.0,0,0.7407397627830505
000482,0.9058823529411765,0.8764044943820225,1.0,1.0,0.9390243902439024,0.896551724137931,76.2939453125,137.3291015625,0,0,4,2,0,0,0,4,0.5709754228591919,1.0,1.0,0,0.6799769997596741
000173,0.5,0.5365853658536586,1.0,1.0,0.5555555555555556,0.5641025641025641,244.140625,259.3994140625,2,2,2,2,1,1,0,1,0.4852980673313141,0.0,1.0,2,0.810944139957428
000166,0.6862745098039216,0.6730769230769231,1.0,1.0,0.8536585365853658,0.8333333333333334,91.552734375,106.8115234375,0,0,2,2,1,1,0,2,0.8190522789955139,1.0,0.8888888955116272,0,0.7403700947761536
000548,0.8484848484848485,0.8615384615384616,1.0,1.0,0.875,0.8888888888888888,122.0703125,106.8115234375,1,0,2,2,3,3,0,2,0.7467151284217834,1.0,1.0,0,0.6785198450088501
000971,0.0,0.0,0.0,0.0,0.0,0.0,320.4345703125,366.2109375,2,2,3,2,0,0,0,0,4.4369135139277205e-06,0.0,0.15492957830429077,2,0.0002290755946887657
000289,0.9661016949152542,0.95,1.0,1.0,0.9661016949152542,0.95,61.03515625,91.552734375,0,0,2,2,0,0,0,2,0.5434357523918152,1.0,1.0,0,0.72641521692276
001315,1.0,0.9508196721311475,1.0,1.0,1.0,0.9508196721311475,0.0,45.7763671875,0,0,3,2,0,0,0,3,0.7531112432479858,1.0,1.0,0,0.7361420392990112
000122,0.6136363636363636,0.6,1.0,1.0,0.7714285714285715,0.75,122.0703125,137.3291015625,0,0,2,2,1,1,0,2,0.6140645146369934,1.0,1.0,0,0.7239655256271362
000303,0.890625,0.8636363636363636,1.0,1.0,0.9047619047619048,0.8769230769230769,91.552734375,122.0703125,0,0,2,2,0,0,0,2,0.5328002572059631,1.0,1.0,0,0.7510058879852295
000476,0.9156626506024096,0.8941176470588236,1.0,1.0,0.9620253164556962,0.9382716049382716,45.7763671875,76.2939453125,0,0,2,2,0,0,0,2,0.6121001243591309,1.0,1.0,0,0.7128394842147827
000202,0.6571428571428571,0.6714285714285714,1.0,1.0,0.7931034482758621,0.7966101694915254,183.10546875,183.10546875,0,0,2,2,2,1,0,2,0.31484055519104004,0.0,0.931034505367279,0,0.679419219493866
000802,0.6944444444444444,0.7222222222222222,1.0,1.0,0.8620689655172413,0.8666666666666667,61.03515625,61.03515625,0,0,2,2,2,2,0,2,0.6843806505203247,1.0,1.0,0,0.7474105358123779
000230,0.7654320987654321,0.7469879518072289,1.0,1.0,0.8857142857142857,0.8611111111111112,122.0703125,152.587890625,0,0,2,2,0,0,0,2,0.07804504781961441,0.0,0.9726027250289917,0,0.6475751399993896
000648,0.7567567567567568,0.717948717948718,1.0,1.0,0.9032258064516129,0.8484848484848485,45.7763671875,76.2939453125,0,0,3,2,1,1,0,3,0.9080910682678223,1.0,1.0,0,0.7353255748748779
