image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000691,0.7307692307692307,0.7307692307692307,1.0,1.0,0.8260869565217391,0.8260869565217391,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0.7776809930801392,1.0,1.0,0,0.6794354915618896
000382,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.9498093724250793,1.0,1.0,0,0.5519415736198425
000483,0.9047619047619048,0.890625,1.0,1.0,0.9193548387096774,0.9047619047619048,76.2939453125,91.552734375,0,0,1,1,0,0,0,1,0.603792667388916,1.0,1.0,0,0.6758262515068054
000528,0.375,0.4473684210526316,1.0,1.0,0.39473684210526316,0.4473684210526316,350.9521484375,320.4345703125,1,1,0,0,2,2,0,0,0.7294121384620667,1.0,1.0,1,0.7011153697967529
000889,0.8918918918918919,0.9166666666666666,1.0,1.0,0.9166666666666666,0.9428571428571428,45.7763671875,30.517578125,0,0,0,0,1,1,0,0,0.4914500415325165,0.0,1.0,0,0.765114426612854
000060,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6184828281402588,1.0,1.0,0,0.770879864692688
001326,0.8529411764705882,0.9354838709677419,1.0,1.0,0.8787878787878788,0.9666666666666667,61.03515625,15.2587890625,0,0,0,0,3,2,0,0,0.5361301898956299,1.0,1.0,0,0.7689191102981567
000520,0.8518518518518519,0.8679245283018868,1.0,1.0,0.8518518518518519,0.8679245283018868,122.0703125,106.8115234375,0,0,0,0,1,1,0,0,0.5253125429153442,1.0,1.0,0,0.7308521866798401
000269,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0.6026967167854309,1.0,1.0,0,0.8323690295219421
000706,0.7540983606557377,0.7540983606557377,1.0,1.0,0.8070175438596491,0.8070175438596491,167.8466796875,167.8466796875,0,0,0,0,0,0,0,0,0.2989262640476227,0.0,0.9799999594688416,0,0.6580343246459961
