image_id,candidate_pixels,base_candidate_pixels,far_pixels,ohem_budget,ohem_pixels,candidate_to_budget_ratio,target_leakage_pixels,target_top20_rate,selected_ohem_overlap,nonflat_candidate_ratio,candidate_pstd_mean,ohem_pstd_mean,pstd_enrichment_vs_ohem
000109,0,0,64874,648,648,0.0,0,1.0,0.0,0.0,0.0,4.433141498338955e-08,0.0
000693,0,0,65163,651,651,0.0,0,1.0,0.0,0.0,0.0,3.33537144570073e-08,0.0
000183,0,0,64757,647,647,0.0,0,1.0,0.0,0.0,0.0,2.8028152243564364e-08,0.0
000467,0,0,64456,644,644,0.0,0,1.0,0.0,0.0,0.0,2.5763025490732616e-08,0.0
001164,0,0,65315,653,653,0.0,0,1.0,0.0,0.0,0.0,1.4777251422515292e-08,0.0
001258,0,0,65001,650,650,0.0,0,1.0,0.0,0.0,0.0,5.553181949835562e-07,0.0
000970,0,0,64909,649,649,0.0,0,1.0,0.0,0.0,0.0,1.71249538993834e-07,0.0
000263,0,0,64936,649,649,0.0,0,1.0,0.0,0.0,0.0,8.325801381658948e-09,0.0
000858,0,0,64805,648,648,0.0,0,1.0,0.0,0.0,0.0,4.656457264218261e-08,0.0
000668,0,0,64852,648,648,0.0,0,1.0,0.0,0.0,0.0,6.058394319552463e-08,0.0
000526,0,0,65125,651,651,0.0,0,1.0,0.0,0.0,0.0,7.842937321811405e-08,0.0
000736,0,0,64732,647,647,0.0,0,1.0,0.0,0.0,0.0,2.0414942625279764e-08,0.0
001146,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,5.117313683911107e-09,0.0
000247,0,0,64821,648,648,0.0,0,1.0,0.0,0.0,0.0,2.5417559612606055e-08,0.0
000367,0,0,65251,652,652,0.0,0,1.0,0.0,0.0,0.0,4.188630953194661e-08,0.0
000050,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,3.866286135689734e-08,0.0
000773,0,0,64894,648,648,0.0,0,1.0,0.0,0.0,0.0,1.0025452690243242e-09,0.0
000318,0,0,64999,649,649,0.0,0,1.0,0.0,0.0,0.0,3.362639944270995e-08,0.0
001163,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,9.163264813594196e-09,0.0
001159,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,3.897328237911779e-09,0.0
001306,0,0,65202,652,652,0.0,0,1.0,0.0,0.0,0.0,3.806278670026586e-08,0.0
001310,0,0,65183,651,651,0.0,0,1.0,0.0,0.0,0.0,1.684623995856782e-08,0.0
000571,0,0,64869,648,648,0.0,0,1.0,0.0,0.0,0.0,6.336730962175352e-07,0.0
001031,0,0,64886,648,648,0.0,0,1.0,0.0,0.0,0.0,4.423959865107463e-09,0.0
000461,0,0,64999,649,649,0.0,0,1.0,0.0,0.0,0.0,3.158828860705398e-07,0.0
000652,0,0,64856,648,648,0.0,0,1.0,0.0,0.0,0.0,4.7401218949971735e-08,0.0
000444,0,0,64256,642,642,0.0,0,1.0,0.0,0.0,0.0,2.6697810184828086e-08,0.0
001194,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,3.972363771254095e-09,0.0
001156,0,0,65332,653,653,0.0,0,1.0,0.0,0.0,0.0,7.972444038273352e-09,0.0
000014,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.9043117305272972e-08,0.0
000250,0,0,64821,648,648,0.0,0,1.0,0.0,0.0,0.0,3.559167893740778e-08,0.0
000134,0,0,64990,649,649,0.0,0,1.0,0.0,0.0,0.0,5.653109980130466e-08,0.0
001301,0,0,64924,649,649,0.0,0,1.0,0.0,0.0,0.0,3.7011450331192464e-05,0.0
000768,0,0,64996,649,649,0.0,0,1.0,0.0,0.0,0.0,3.7664880103704945e-09,0.0
000823,0,0,64840,648,648,0.0,0,1.0,0.0,0.0,0.0,7.279859204345485e-08,0.0
000040,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,1.343581246260328e-08,0.0
000891,0,2,64924,649,649,0.0,0,1.0,0.0,0.0,0.0,1.3992907277327049e-08,0.0
000561,0,0,64936,649,649,0.0,0,1.0,0.0,0.0,0.0,4.3141600514218226e-08,0.0
001200,0,0,65281,652,652,0.0,0,1.0,0.0,0.0,0.0,1.2133122062607526e-08,0.0
001233,0,0,65247,652,652,0.0,0,1.0,0.0,0.0,0.0,3.383624758157566e-08,0.0
000119,0,0,64844,648,648,0.0,0,1.0,0.0,0.0,0.0,3.9617114566681266e-07,0.0
001324,0,0,65067,650,650,0.0,0,1.0,0.0,0.0,0.0,6.77954901107114e-08,0.0
