image_name,evidence_mIoU,final_mIoU,evidence_Pd,final_Pd,evidence_Precision,final_Precision,evidence_FA_ppm,final_FA_ppm,evidence_FP_components,final_FP_components,residual_new_fp_pixels,residual_new_fp_components,residual_removed_fp_pixels,residual_removed_fp_components,residual_lost_target_pixels,residual_boundary_excess_pixels,delta_mean_target,delta_mean_boundary,delta_mean_far_bg,delta_positive_far_bg_ratio
001050,0.8974358974358975,0.8974358974358975,1.0,1.0,0.9722222222222222,0.9722222222222222,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0.48118406534194946,0.23736640810966492,0.0020201734732836485,0.5212403628820014
001148,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4969013035297394,0.22475439310073853,0.00028597607160918415,0.5169904779485286
000440,0.9340659340659341,0.9293478260869565,1.0,1.0,0.9770114942528736,0.9661016949152542,61.03515625,91.552734375,0,0,2,2,0,0,0,2,0.48807698488235474,0.15166103839874268,0.0006715853232890368,0.6200170304024221
000032,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.495575487613678,0.20028842985630035,0.0007391697145067155,0.5652314366145185
000812,0.4375,0.4375,1.0,1.0,0.6176470588235294,0.6176470588235294,198.3642578125,198.3642578125,0,0,0,0,0,0,0,0,0.470130980014801,0.18081438541412354,0.00013166137796361,0.5058241706971898
000830,0.5,0.5098039215686274,1.0,1.0,0.6756756756756757,0.6666666666666666,183.10546875,198.3642578125,0,0,1,1,0,0,0,1,0.47998368740081787,0.19839634001255035,9.62152480497025e-05,0.4540862320867916
000771,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,0.8333333333333334,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0.47579872608184814,0.15395347774028778,0.0004911929136142135,0.47319534962923976
000324,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4989815652370453,0.1464226245880127,0.0005458382074721158,0.6172493885650121
001161,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.49670183658599854,0.2037615031003952,0.0010997569188475609,0.5415262971679973
000209,0.6842105263157895,0.7105263157894737,1.0,1.0,0.7878787878787878,0.7941176470588235,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0.4499604105949402,0.1574009656906128,0.002155643654987216,0.5237030756185924
000645,0.43478260869565216,0.45652173913043476,1.0,1.0,0.625,0.6363636363636364,183.10546875,183.10546875,0,0,0,0,0,0,0,0,0.46601298451423645,0.1252906322479248,0.003339604940265417,0.6617176082833245
000897,0.9625,0.9625,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4911267161369324,0.23741953074932098,0.011695394292473793,0.7689763852877703
001036,0.8833333333333333,0.8548387096774194,1.0,1.0,0.8833333333333333,0.8548387096774194,106.8115234375,137.3291015625,0,0,2,2,0,0,0,2,0.49345219135284424,0.20904748141765594,0.0006252254243008792,0.43845546210677944
000200,0.6081081081081081,0.6081081081081081,1.0,1.0,0.7377049180327869,0.7377049180327869,244.140625,244.140625,0,0,0,0,0,0,0,0,0.4724152386188507,0.14876891672611237,0.0005229960661381483,0.5508520653068834
000708,0.4852941176470588,0.4852941176470588,1.0,1.0,0.66,0.66,259.3994140625,259.3994140625,0,0,0,0,0,0,0,0,0.46328839659690857,0.1184074878692627,0.0015358688542619348,0.5179191651740519
000474,0.9365079365079365,0.9365079365079365,1.0,1.0,0.9516129032258065,0.9516129032258065,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0.4835050702095032,0.22998666763305664,0.0005786249530501664,0.6028726647990218
000840,0.5306122448979592,0.5306122448979592,1.0,1.0,0.7428571428571429,0.7428571428571429,137.3291015625,137.3291015625,0,0,0,0,0,0,0,0,0.4733455777168274,0.1410425454378128,0.00025411046226508915,0.48429628708253003
000554,0.9838709677419355,0.9838709677419355,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.4900641143321991,0.10535182803869247,0.0014257491566240788,0.5682015235028178
000011,0.8181818181818182,0.6428571428571429,1.0,1.0,0.8181818181818182,0.6428571428571429,30.517578125,76.2939453125,1,1,3,2,0,0,0,0,0.4962199032306671,0.1935127228498459,0.001591567532159388,0.5385727690864061
000603,0.95,0.95,1.0,1.0,0.9661016949152542,0.9661016949152542,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0.4933445453643799,0.11412082612514496,0.0006590362754650414,0.5591542542496094
