image_name,teacher_student_absdiff_all_pixels,teacher_student_absdiff_target,teacher_student_absdiff_target_boundary,teacher_student_absdiff_far_background,teacher_student_absdiff_ohem_negatives,teacher_student_absdiff_topk_far_evidence,teacher_student_absdiff_detached_fp_components,teacher_rank_disagreement_topk_far,teacher_lower_than_student_on_high_far_rate,teacher_preserves_target_rate,per_checkpoint_variance_topk_far,per_checkpoint_variance_target,topk_far_pixels,ohem_negative_pixels,detached_fp_pixels,target_pixels,informative_topk_far
000097,1.6086454159773948e-05,0.015362196729984134,0.0025073580368544634,6.290387269858251e-08,6.238917502149676e-06,6.238917502149676e-06,nan,0.36775818639798485,0.9753086419753086,0.9666666666666667,6.665638216501824e-11,0.0014038714411835093,324,324,0,30,0
000098,1.494388491138237e-05,0.01575822432835897,0.00617120436732874,3.745833468272439e-08,3.449041677123188e-06,3.449041677123188e-06,nan,0.27055702917771884,0.9969325153374233,1.0,1.3059784194386119e-11,0.0016457651715362212,326,326,0,15,0
000099,1.2667697080331857e-05,0.015946708231429813,0.0014371943009912661,1.0031111872090451e-07,1.063833383762324e-05,1.063833383762324e-05,nan,0.21978021978021978,0.7932098765432098,1.0,4.190768574669568e-10,0.0014119769457269769,324,324,0,30,0
000101,1.7546732549419875e-05,0.011467677839251185,0.0032071047644620975,5.571393834297586e-07,3.3510258090021207e-05,3.3510258090021207e-05,nan,0.371859296482412,0.9012345679012346,1.0,1.7628439161953017e-09,0.0008150337079571734,324,324,0,30,0
000102,4.767503323893313e-06,0.008819905916849773,0.0012638777882449737,4.3644900304461376e-07,5.018120136698872e-05,5.018120136698872e-05,nan,0.24731182795698925,0.9938650306748467,0.9333333333333333,4.604639738011109e-09,0.00024932251449172327,326,326,0,15,0
000103,1.0496374726971488e-05,0.008872437477111816,0.004594019629941981,5.3902880662956506e-08,2.9859504715388954e-06,2.9859504715388954e-06,nan,0.5080091533180777,0.8742331288343558,1.0,9.80218930663421e-12,0.00033457097352804037,326,326,0,15,0
000104,2.678685087515382e-05,0.01923460963492592,0.004996462200305281,6.601932698269952e-08,5.980029881606871e-06,5.980029881606871e-06,nan,0.35114503816793896,0.9753086419753086,1.0,3.7769175982545964e-11,0.0018794502640121576,324,324,0,30,0
000105,1.1491700881301803e-05,0.018570377793854016,0.000959635510269638,1.1743445646579188e-07,1.0899886762565726e-05,1.0899886762565726e-05,nan,0.5535714285714286,0.941358024691358,1.0,1.4480765310975963e-10,0.0029112543394379646,324,324,0,28,0
000108,3.324946398701385e-06,0.00950473859847989,0.000518558844810501,5.5199809025551106e-08,5.375875056599811e-06,5.375875056599811e-06,nan,0.20879120879120883,0.941717791411043,1.0,3.540690338867104e-10,0.0005111521006579967,326,326,0,16,0
000109,1.3373945656561565e-05,0.007657885551452637,0.0025670225956401036,3.8356457149803454e-08,3.7335436698912767e-06,3.7335436698912767e-06,nan,0.21978021978021978,0.9228395061728395,0.96875,5.074468439558965e-11,0.0003497690901495265,324,324,0,32,0
000114,5.225269818914052e-06,0.010815557558089495,0.0014914817748778782,8.170334418193404e-08,8.810472010535833e-06,8.810472010535833e-06,nan,0.4213075060532687,0.9355828220858896,1.0,1.2791523522756055e-10,0.00033775963421439625,326,326,0,16,0
000115,1.6026644882270487e-05,0.021457361424285355,0.0014426757739323455,4.874250340980704e-08,5.080065652530294e-06,5.080065652530294e-06,nan,0.5820568927789934,0.9845679012345679,0.9696969696969697,9.183340678516039e-11,0.0028590819807979605,324,324,0,33,0
000116,2.0397599665065605e-05,0.025668521973249668,0.002137149207009606,3.7261536967838994e-08,2.4259501317548993e-06,2.4259501317548993e-06,nan,0.5294117647058824,0.9384615384615385,0.9411764705882353,6.506610143295203e-12,0.0024853453799298505,325,325,0,34,0
000117,2.3728833937771754e-05,0.03056566498162283,0.0020534336946706902,3.852507787790921e-08,3.232779179101002e-06,3.232779179101002e-06,nan,0.45346062052505964,0.9537037037037037,0.9411764705882353,1.7984681785587228e-11,0.006581302288545539,324,324,0,34,0
000118,1.693588785728527e-05,0.0191114388871938,0.0018864481634917158,1.1340591068056515e-07,5.3042315554238834e-06,5.3042315554238834e-06,nan,0.5405405405405406,0.8888888888888888,0.7941176470588235,2.710156224961511e-11,0.006610881227851231,324,324,0,34,0
000119,3.087634800192473e-05,0.019719603170147714,0.0038401437374823467,3.8598150385167074e-07,2.642327463372904e-05,2.642327463372904e-05,nan,0.4117647058823529,0.9629629629629629,1.0,5.617043614037392e-10,0.005148333272245405,324,324,0,34,0
000121,1.6176076695231575e-05,0.015179478110642068,0.002008829637702795,1.1435767148456021e-07,1.1562808387320673e-05,1.1562808387320673e-05,nan,0.3212435233160622,0.941358024691358,0.9444444444444444,1.2668561672852245e-10,0.0030136135419705687,324,324,0,36,0
000123,2.742806557423757e-05,0.028216132332038665,0.0033394472664555015,7.927107601329955e-08,8.613316246294148e-06,8.613316246294148e-06,nan,0.3212435233160622,0.7993827160493827,0.9428571428571428,8.284060717398607e-10,0.0021798349399298747,324,324,0,35,0
000125,9.787276051426731e-06,0.0052213899501794,0.0017299067388316623,5.64108630885581e-08,3.720709836120533e-06,3.720709836120533e-06,nan,0.49651972157772617,0.8395061728395061,1.0,4.235591349903323e-11,0.00024683582681328986,324,324,0,36,0
000126,2.0329019377210035e-06,0.004067573929205537,0.00045460657169673984,8.365543436808072e-08,5.927323825554969e-06,5.927323825554969e-06,nan,0.30208333333333337,0.8619631901840491,1.0,6.205975221093147e-11,4.932406139627569e-05,326,326,0,18,0
000129,7.220030953916462e-06,0.018984771886990576,0.0008634394856403484,5.6216659268358004e-08,4.1300706200176126e-06,4.1300706200176126e-06,nan,0.5511111111111111,0.99079754601227,0.9473684210526315,1.1422994052170172e-11,0.005190786954871693,326,326,0,19,0
000130,2.1597748122269856e-05,0.028752334206058692,0.0012941469082533184,2.9048464486340363e-08,9.84729381076968e-07,9.84729381076968e-07,nan,0.6611570247933884,0.8580246913580247,0.9736842105263158,2.0625660762012604e-12,0.004015588876549228,324,324,0,38,0
000132,2.2648439659805244e-05,0.015823075449780413,0.003450221023844797,4.930136535613311e-08,4.607767454130518e-06,4.607767454130518e-06,nan,0.34271099744245526,0.75,0.868421052631579,2.4978253173623737e-11,0.0019839185442903115,324,324,0,38,0
000134,1.541289289650604e-05,0.013931137696664863,0.0022723384958652846,5.407856726224699e-08,3.488686464571891e-06,3.488686464571891e-06,nan,0.4560570071258907,0.8892307692307693,0.9210526315789473,6.973491652457252e-11,0.002724647347947331,325,325,0,38,0
000136,1.7877766660655403e-05,0.01785435531842507,0.0018825774303529955,5.698556980764359e-08,6.80456619937014e-06,6.80456619937014e-06,nan,0.3840399002493765,0.9074074074074074,0.8947368421052632,1.5346663797796926e-10,0.0045953785485248096,324,324,0,38,0
000139,1.5030067600225326e-05,0.019082273314492533,0.0010016505791388068,1.4577866529580948e-07,1.3731930091215659e-05,1.3731930091215659e-05,nan,0.35532994923857864,0.9135802469135802,1.0,2.260802103533419e-10,0.00369990588132357,324,324,0,38,0
000143,1.813000927333021e-05,0.018884098643320614,0.0016547498918888077,3.954784690781446e-08,3.5777066268902098e-06,3.5777066268902098e-06,nan,0.5034642032332564,0.9938271604938271,0.975,1.3526474634538461e-11,0.00233857315778947,324,324,0,40,0
000145,2.4607224062258454e-06,0.004891849122941494,0.0005675214993745118,3.272081655534948e-08,1.237797585503654e-06,1.237797585503654e-06,nan,0.8188405797101449,0.9447852760736196,1.0,3.0367369851630368e-12,0.0005864789001624349,326,326,0,20,0
000146,1.5496924612926264e-05,0.014516818002448417,0.001615058747414751,2.3139233843198862e-07,1.3240223695363426e-05,1.3240223695363426e-05,nan,0.4309927360774818,0.9444444444444444,0.95,4.423063089483881e-10,0.0017085835158375806,324,324,0,40,0
000147,2.39665136666917e-05,0.027667854107858148,0.0017712282287843763,5.2923093711806715e-08,3.330205361405127e-06,3.330205361405127e-06,nan,0.46808510638297873,0.6635802469135802,0.925,3.991296872853475e-11,0.003051496530782827,324,324,0,40,0
000149,1.7066416808551512e-05,0.011103028455545427,0.0026110781665024045,9.09967692461183e-08,9.240386992744643e-06,9.240386992744643e-06,nan,0.2947368421052632,0.7129629629629629,0.9,1.807073864442521e-10,0.0026365612234100057,324,324,0,40,0
000152,2.2281665555426688e-05,0.029740592172311155,0.0010218765732652475,7.599434572649398e-08,7.91243057931381e-06,7.91243057931381e-06,nan,0.2343324250681199,0.8364197530864198,0.975,9.310975900230243e-11,0.0038765376788088223,324,324,0,40,0
000154,2.9009016495756637e-05,0.013223467348563559,0.004833109950429413,1.0737500691308903e-07,1.8574274561988654e-06,1.8574274561988654e-06,nan,0.8571428571428572,0.7222222222222222,0.9285714285714286,1.4447534525308687e-11,0.000754853558334141,324,324,0,42,0
000158,1.966126846963721e-05,0.01134407087340064,0.0030456863239020308,2.9540262846910762e-08,2.778608921813783e-06,2.778608921813783e-06,nan,0.49302325581395345,0.9629629629629629,0.9523809523809523,1.3513736662864296e-11,0.0019452091579221999,324,324,0,42,0
000160,2.3088679877630156e-05,0.018807245828654794,0.0025679590804842632,2.522117196784806e-08,1.3019422038459994e-06,1.3019422038459994e-06,nan,0.5137614678899083,0.9814814814814815,0.9285714285714286,1.6049727316213487e-12,0.00264753703970325,324,324,0,42,0
000161,2.1104442940282122e-05,0.010332856709965199,0.003373581868409441,6.964109832539581e-08,3.2312931010749338e-06,3.2312931010749338e-06,nan,0.6415094339622642,0.9320987654320988,0.9761904761904762,6.59496367741878e-11,0.0019314472296586068,324,324,0,42,0
