image_name,target_component_count,matched_target_prediction_component_count,near_fp_component_count,far_fp_component_count,target_leakage_pixels
001208,1,1,0,0,0
000099,2,1,0,0,0
000073,1,1,0,0,0
000049,1,1,0,0,0
000158,2,2,0,0,0
001279,1,1,0,0,0
000063,1,1,0,0,0
001181,1,1,0,0,0
000515,2,5,0,0,0
001054,1,1,0,0,0
000844,2,2,0,0,0
001177,3,3,0,0,0
000934,1,1,0,0,0
000663,2,2,0,0,0
000841,2,2,0,0,0
000205,2,2,0,0,0
000911,2,1,0,0,0
000211,2,2,0,0,0
000267,2,2,0,0,0
000379,1,1,0,0,0
000168,2,2,0,0,0
000301,1,1,0,0,0
001061,1,1,0,0,0
001299,1,1,0,0,0
000818,1,1,0,0,0
001070,1,1,0,0,0
001305,1,1,0,0,0
001095,1,1,0,0,0
000695,1,1,1,0,0
000375,2,2,0,0,0
000061,4,4,0,0,0
000669,2,2,0,0,0
000325,3,3,0,0,0
000864,2,2,0,0,0
000174,2,2,0,0,0
000347,1,1,0,0,0
000748,2,2,0,0,0
000946,1,1,0,0,0
001274,1,1,0,0,0
001059,1,1,0,0,0
000253,1,1,0,0,0
000679,2,2,0,1,0
001041,1,1,0,0,0
000999,1,1,0,0,0
000794,1,1,0,0,0
000576,1,1,0,0,0
001094,1,1,0,0,0
000635,2,2,0,0,0
000825,1,1,0,0,0
000013,2,1,0,0,0
000627,2,2,0,0,0
000487,1,1,0,0,0
001201,1,1,0,0,0
000457,2,2,0,0,0
000916,1,1,0,0,0
000030,1,1,0,0,0
000109,2,2,0,0,0
000693,1,1,0,0,0
000183,2,2,0,0,0
000467,2,2,0,0,0
001164,1,1,0,0,0
001258,1,1,0,0,0
000970,1,1,0,0,0
000263,1,1,0,0,0
000858,2,2,0,0,0
000668,2,2,0,0,0
000526,1,1,0,0,0
000736,2,2,0,0,0
001146,1,1,0,0,0
000247,1,1,0,0,0
000367,1,1,0,0,0
000050,1,1,0,0,0
000773,2,2,0,0,0
000318,1,1,0,0,0
001163,1,1,0,0,0
001159,1,1,0,0,0
001306,1,1,0,0,0
001310,1,1,0,0,0
000571,1,1,0,0,0
001031,1,1,0,0,0
000461,1,1,0,0,0
000652,2,2,0,0,0
000444,2,2,0,0,0
001194,1,1,0,0,0
001156,1,1,0,0,0
000014,1,1,0,0,0
000250,1,2,0,0,0
000134,2,2,0,0,0
001301,1,1,0,0,0
000768,2,2,0,0,0
000823,2,2,0,0,0
000040,1,1,0,0,0
000891,1,1,0,0,0
000561,1,1,0,0,0
001200,1,1,0,0,0
001233,1,1,0,0,0
000119,2,2,0,0,0
001324,1,1,0,0,0
000793,1,1,0,0,0
000293,1,1,0,0,0
000143,2,2,0,0,0
001011,1,1,0,0,0
000834,2,2,0,0,0
000095,1,1,0,0,0
000017,1,1,0,0,0
001116,2,2,0,0,0
000653,2,2,0,0,0
000755,2,2,0,0,0
000705,2,2,0,0,0
000723,2,2,0,0,0
000738,2,2,0,0,0
001266,1,1,0,0,0
000364,3,3,0,0,0
000791,2,2,0,0,0
000048,4,4,0,0,0
000228,2,2,1,0,0
000956,1,1,0,0,0
000570,1,1,0,0,0
000116,2,2,0,0,0
000350,1,1,0,0,0
000276,1,1,0,0,0
001022,1,1,0,0,0
000369,1,1,0,0,0
001225,1,1,0,0,0
000129,1,1,0,0,0
000947,1,1,0,0,0
000800,2,2,0,0,0
000154,2,2,0,0,0
001168,1,1,0,0,0
000602,1,1,1,0,0
000210,2,2,0,0,0
001284,1,1,0,0,0
000534,1,1,0,0,0
000814,2,2,0,0,0
000846,2,2,0,0,0
001132,1,1,0,0,0
000257,1,1,0,0,0
000688,2,2,0,0,0
001056,1,1,0,0,0
000430,2,2,0,0,0
000900,1,1,0,0,0
000471,1,1,0,0,0
000833,1,1,0,0,0
000171,1,1,0,0,0
000567,1,1,0,0,0
001043,1,1,0,0,0
000798,2,2,0,0,0
001085,1,1,0,0,0
000895,1,1,0,0,0
001121,2,2,0,0,0
000979,1,2,0,0,0
000363,1,1,0,0,0
000311,1,1,0,0,0
000229,2,2,0,0,0
000234,1,1,0,0,0
001073,1,1,0,0,0
000716,2,2,0,0,0
001005,1,1,0,0,0
001119,1,1,0,0,0
001327,1,1,0,0,0
000754,1,1,0,0,0
000245,1,1,0,0,0
000780,1,1,0,0,0
000277,1,1,0,0,0
001052,1,1,0,0,0
000856,1,1,0,0,0
000871,1,1,0,0,0
000531,1,1,0,0,0
000472,1,1,0,0,0
000083,1,1,0,0,0
000274,1,1,0,0,0
000147,2,2,0,0,0
000096,2,2,0,0,0
000152,2,2,0,0,0
001158,3,3,0,0,0
000453,2,2,0,0,0
000057,1,1,0,0,0
000411,1,1,0,0,0
000388,1,1,0,0,0
000082,1,1,0,0,0
000655,2,2,0,0,0
000962,1,1,0,0,0
001086,1,1,0,0,0
000539,1,1,0,0,0
000381,1,1,0,0,0
000527,1,1,0,0,0
000309,1,1,0,0,0
000065,1,1,0,0,0
000418,2,2,0,0,0
000306,1,2,0,0,0
000469,1,1,0,0,0
000088,1,1,0,0,0
001007,1,1,0,0,0
000690,1,1,0,0,0
000686,2,2,0,0,0
000428,1,1,0,0,0
000605,1,1,0,0,0
001067,1,1,0,0,0
001025,1,2,0,0,0
001245,1,1,0,0,0
001045,1,1,0,0,0
000767,2,2,0,0,0
000728,2,2,0,0,0
001065,1,1,0,0,0
000540,1,1,0,0,0
000658,2,2,0,0,0
000549,1,1,0,0,0
000522,2,2,0,0,0
000978,1,1,0,0,0
000317,1,1,0,0,0
000117,2,2,0,0,0
000184,2,2,0,0,0
000631,1,1,0,0,0
000459,1,2,0,0,0
000804,2,2,0,0,0
000819,2,2,0,0,0
001048,1,1,0,0,0
000271,1,1,0,0,0
000358,2,2,0,0,0
000670,1,1,0,0,0
000145,1,1,0,0,0
000118,2,2,0,0,0
000239,2,2,0,0,0
000126,1,1,0,0,0
000115,2,2,0,0,0
001171,1,1,0,0,0
000497,2,2,0,0,0
000847,2,2,0,0,0
000462,1,1,0,0,0
000604,1,1,0,0,0
000223,1,1,0,0,0
000810,2,2,0,0,0
000938,1,1,0,0,0
000460,1,1,0,0,0
001001,1,2,0,0,0
001108,1,1,0,0,0
000826,2,2,0,0,0
001252,1,1,0,0,0
000981,1,1,0,0,0
000429,2,2,0,0,0
001277,1,2,1,0,0
001080,1,1,0,0,0
000707,2,2,0,0,0
000221,2,2,0,0,0
000265,1,1,0,0,0
000672,2,2,0,0,0
000752,2,2,0,0,0
000481,2,2,0,0,0
000384,4,4,0,0,0
000236,1,1,0,0,0
000125,2,1,0,0,0
000892,1,1,0,0,0
000238,1,1,0,0,0
000639,1,1,0,0,0
000914,1,1,0,0,0
000432,2,2,0,0,0
000489,2,2,0,0,0
000513,2,2,0,0,0
000114,1,1,0,0,0
000719,2,2,0,0,0
000643,2,2,0,0,0
000994,1,1,0,0,0
000712,2,2,0,0,0
000242,2,2,0,0,0
001207,2,2,0,0,0
000201,2,2,0,0,0
001312,1,1,0,0,0
000524,1,1,0,0,0
000198,2,2,0,0,0
000543,1,1,0,0,0
000028,1,1,0,0,0
001323,1,1,0,0,0
000331,4,4,0,0,0
000222,1,1,0,0,0
000869,1,1,0,0,0
000692,2,2,0,0,0
000842,1,1,0,0,0
000795,2,2,0,0,0
001078,1,1,0,0,0
000896,1,1,0,0,0
000052,1,1,0,0,0
001256,1,1,0,0,0
000292,2,2,0,0,0
000070,1,1,0,0,0
000443,1,1,0,0,0
000343,1,1,0,0,0
000504,2,2,0,0,0
000203,2,2,0,0,0
000204,2,2,0,0,0
000943,1,1,0,0,0
000886,1,1,0,0,0
000337,1,1,0,0,0
000146,2,2,0,0,0
000778,2,2,0,0,0
001051,1,1,0,0,0
000121,2,2,0,0,0
000196,1,1,0,0,0
000647,2,2,0,0,0
001182,1,1,0,0,0
000972,1,1,0,0,0
000750,1,1,0,0,0
000568,1,1,0,0,0
000585,1,1,1,0,0
000925,1,1,0,0,0
001295,1,0,0,24,0
000280,1,1,0,0,0
000741,2,2,0,0,0
000360,1,1,0,0,0
000969,1,1,0,0,0
000042,1,1,0,0,0
000087,1,1,0,0,0
000975,1,1,0,0,0
000877,1,1,0,0,0
000942,1,1,0,0,0
000998,1,1,0,0,0
000356,1,1,0,0,0
000697,2,2,0,0,0
000403,1,1,0,0,0
000208,1,1,0,0,0
000514,1,0,0,3,0
000401,2,2,0,0,0
000248,1,1,0,0,0
000758,2,2,0,0,0
001192,1,1,0,0,0
001282,1,1,0,0,0
000876,1,1,0,0,0
000764,2,2,0,0,0
000445,1,1,0,0,0
000865,1,1,0,0,0
000564,1,1,1,0,0
000149,2,2,0,0,0
000584,1,1,0,0,0
001019,1,1,0,0,0
001017,1,1,0,0,0
000308,1,2,0,0,0
001318,1,1,0,0,0
000018,1,1,0,0,0
000056,1,1,0,0,0
000232,1,1,0,0,0
000777,2,2,0,0,0
000328,1,1,0,0,0
001217,2,2,0,0,0
001219,2,2,0,0,0
000577,1,1,0,0,0
000383,1,1,0,0,0
001276,1,1,0,0,0
000929,1,1,0,0,0
000354,1,1,0,0,0
000029,1,1,0,0,0
001118,1,1,0,0,0
000006,1,1,0,0,0
000105,2,2,0,0,0
000486,1,1,0,0,0
000074,1,1,0,0,0
000275,1,1,0,0,0
001189,1,1,0,0,0
000612,1,1,0,0,0
000008,3,3,0,0,0
001093,1,2,0,0,0
000034,1,1,0,0,0
000949,1,1,0,0,0
000039,1,1,0,0,0
001138,2,2,0,0,0
000677,2,2,0,0,0
001198,3,3,0,0,0
000696,2,2,0,0,0
001230,3,3,0,0,0
000590,1,1,0,0,0
001243,2,2,0,0,0
000323,2,2,0,0,0
001032,1,1,0,0,0
000488,1,1,0,0,0
000413,2,2,0,0,0
000700,2,2,0,0,0
000854,1,1,0,0,0
000217,2,2,0,0,0
000101,2,2,0,0,0
000518,2,2,0,0,0
000578,1,1,0,0,0
000950,1,1,0,0,0
000031,2,2,0,0,0
000888,1,1,0,0,0
000256,2,2,0,0,0
000419,2,1,0,0,0
000035,1,1,0,0,0
000872,1,1,0,0,0
001147,1,1,0,0,0
001033,1,1,0,0,0
000991,1,1,0,0,0
001113,1,1,0,0,0
000884,1,1,0,0,0
001292,1,1,0,0,0
000235,1,1,0,0,0
000185,2,2,0,0,0
000404,2,2,0,0,0
001071,1,1,0,0,0
000340,1,1,0,0,0
000387,1,1,0,0,0
000990,1,1,0,0,0
000254,2,2,0,0,0
000953,1,2,0,0,0
000770,1,1,0,0,0
000241,2,2,0,0,0
000559,1,1,0,0,0
000357,1,1,0,0,0
000905,1,1,0,0,0
000068,2,2,0,0,0
000097,2,2,0,0,0
000108,1,1,0,0,0
000618,1,1,0,0,0
000982,1,1,0,0,0
000743,2,2,0,0,0
000279,1,1,0,0,0
000824,2,2,0,0,0
001058,1,1,0,0,0
000681,2,2,0,0,0
001196,1,1,0,0,0
001275,1,1,0,0,0
000760,2,2,0,0,0
000089,2,2,0,0,0
000054,3,3,0,0,0
000624,2,2,0,0,0
000987,1,1,0,0,0
001179,1,1,0,0,0
000338,1,1,0,0,0
000206,2,2,0,0,0
000177,2,2,0,0,0
000565,1,1,0,1,0
001134,1,1,0,0,0
000130,2,2,0,0,0
000952,1,1,0,0,0
001082,1,1,0,0,0
000136,2,2,0,0,0
000551,1,1,0,0,0
000288,1,1,0,0,0
000619,1,1,0,0,0
000852,2,2,0,0,0
001165,1,1,0,0,0
000321,2,2,0,0,0
001231,1,1,0,0,0
000501,2,2,0,0,0
000393,1,1,0,0,0
000372,2,2,0,0,0
000512,2,2,0,0,0
000424,2,3,0,0,0
001211,1,1,0,0,0
000977,1,1,0,0,0
000580,1,1,0,0,0
000626,2,2,0,0,0
000218,2,2,0,0,0
000451,2,2,0,0,0
000566,1,1,0,0,0
000165,2,2,0,0,0
000964,1,1,0,0,0
000407,2,2,0,0,0
000517,1,1,0,0,0
000572,1,1,0,0,0
001027,1,1,0,0,0
001106,1,1,0,0,0
000662,2,2,0,0,0
000102,1,1,0,0,0
000776,2,2,0,0,0
000160,2,2,0,0,0
000072,1,1,0,0,0
001062,1,1,0,0,0
000899,1,1,0,0,0
001091,1,1,0,0,0
000024,1,1,0,0,0
000304,1,1,0,0,0
000753,1,1,0,0,0
000594,1,1,0,0,0
000769,1,1,0,0,0
000464,1,1,0,0,0
000044,1,1,0,0,0
000007,1,1,0,0,0
000438,2,2,0,0,0
001313,1,1,0,0,0
000069,3,3,0,0,0
001187,1,1,0,0,0
000993,1,1,0,0,0
000161,2,2,0,0,0
000505,1,1,0,0,0
001290,1,1,0,0,0
000546,1,1,0,0,0
000258,2,2,0,0,0
001064,1,1,0,0,0
001228,1,1,0,0,0
001115,1,1,0,0,0
000674,2,2,0,0,0
001293,1,1,0,0,0
001269,1,1,0,0,0
001172,1,1,0,0,0
001247,1,1,0,0,0
000667,2,2,0,0,0
000641,2,2,0,0,0
000172,2,2,0,0,0
000503,2,2,0,0,0
000181,2,2,0,0,0
000726,2,2,0,0,0
000033,1,1,0,0,0
000437,1,1,0,0,0
001263,1,1,0,0,0
000989,1,1,0,0,0
000376,1,1,0,0,0
000959,1,1,0,0,0
000491,2,2,0,0,0
001090,1,1,0,0,0
000530,1,1,0,0,0
001104,1,1,0,0,0
000796,1,1,0,0,0
000290,1,1,0,0,0
000179,2,2,0,0,0
000868,2,2,0,0,0
000264,1,1,0,0,0
000327,1,1,0,0,0
000657,2,2,0,0,0
000442,2,2,0,0,0
001035,1,1,0,0,0
001136,1,1,0,0,0
000251,1,1,0,0,0
000342,4,4,0,0,0
000098,1,1,0,0,0
001166,1,1,0,0,0
000829,1,1,0,0,0
001049,1,1,0,0,0
000104,2,2,0,0,0
000402,1,1,0,0,0
000339,3,3,0,0,0
000427,1,1,0,0,0
000078,1,1,0,0,0
001014,1,1,0,0,0
000139,2,2,0,0,0
001152,1,1,0,0,0
000479,1,1,0,0,0
000175,1,1,0,0,0
000435,2,2,0,0,0
001072,1,1,0,0,0
000246,1,1,0,0,0
000414,2,2,0,0,0
000638,2,2,0,0,0
000904,1,1,0,0,0
001321,1,1,0,0,0
000396,1,1,0,0,0
000094,2,2,0,0,0
000805,1,1,0,0,0
000005,1,1,0,0,0
001316,1,1,0,0,0
001046,1,1,0,0,0
000586,1,1,0,0,0
001226,3,3,0,0,0
000079,1,1,0,0,0
000725,2,2,0,0,0
001296,1,1,0,0,0
000827,2,2,0,0,0
000103,1,1,0,0,0
001099,1,1,0,0,0
001205,1,1,0,0,0
000368,1,1,0,0,0
000278,1,1,0,0,0
000190,2,2,0,0,0
000544,1,1,0,0,0
001260,1,1,0,0,0
000997,1,2,0,0,0
000431,1,1,0,0,0
000919,1,1,0,0,0
001197,1,1,0,0,0
001030,1,2,0,0,0
001173,2,2,0,0,0
000454,1,1,0,0,0
001157,1,1,0,0,0
000164,2,2,0,0,0
001037,1,1,0,0,0
000077,1,1,0,0,0
000642,2,2,0,0,0
000828,2,2,0,0,0
000675,2,2,0,0,0
000702,2,2,0,0,0
000310,1,1,0,0,0
000797,1,1,0,0,0
000739,2,2,0,0,0
000123,2,2,0,0,0
001270,1,1,0,0,0
001170,1,1,0,0,0
001117,1,1,0,0,0
000857,2,2,0,0,0
000477,1,2,0,0,0
000180,2,2,0,0,0
001130,1,1,0,0,0
000958,1,1,0,0,0
000855,2,2,0,0,0
001109,1,1,0,0,0
001009,1,1,0,0,0
000199,1,1,0,0,0
001203,1,1,0,0,0
000676,2,2,0,0,0
000132,2,2,0,0,0
000441,1,1,0,0,0
001261,1,1,0,0,0
000878,1,1,0,0,0
000283,1,1,0,0,0
000408,1,1,0,0,0
000244,1,1,0,0,0
000322,1,1,0,0,0
001105,2,2,0,0,0
000932,1,2,0,0,0
