image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000591,0.9166666666666666,0.9166666666666666,1.0,1.0,0.9850746268656716,0.9850746268656716,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.05921978875994682,nan,1.5399717612218922e-10
000484,0.8714285714285714,0.8714285714285714,1.0,1.0,0.9682539682539683,0.9682539682539683,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.023533625528216362,nan,2.350388526655648e-15
001236,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.022870127111673355,nan,7.259919390916608e-15
000334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2112918347120285,nan,4.676887336066936e-15
000915,0.9375,0.9375,1.0,1.0,0.9523809523809523,0.9523809523809523,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,0,0.0,0.027904367074370384,nan,3.735615603742831e-13
000523,0.5915492957746479,0.5915492957746479,1.0,1.0,0.8235294117647058,0.8235294117647058,137.3291015625,137.3291015625,0,0,0,0,0,0,0,0,0,0.0,0.035216908901929855,nan,1.1979029964151455e-12
000765,0.7647058823529411,0.7647058823529411,1.0,1.0,0.7647058823529411,0.7647058823529411,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.0011954710353165865,nan,2.3971927085847237e-16
000215,0.8169014084507042,0.8169014084507042,1.0,1.0,0.8923076923076924,0.8923076923076924,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.049902692437171936,nan,1.099560065665351e-14
000045,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0721358060836792,nan,1.0282794029465504e-16
001303,0.9047619047619048,0.9047619047619048,1.0,1.0,0.9193548387096774,0.9193548387096774,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.1231679618358612,nan,8.79353691642451e-15
