image_name,base_mIoU,final_mIoU,base_Pd,final_Pd,base_Precision,final_Precision,base_FA_ppm,final_FA_ppm,base_FP_components,final_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,lost_target_count,boundary_excess_pixels,eta,scale_var_target_mean,scale_var_new_fp_mean,scale_var_far_bg_mean
000783,0.875,0.875,1.0,1.0,0.875,0.875,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,0.04066702350974083,nan,3.4787365211048297e-16
000240,0.8189655172413793,0.8189655172413793,1.0,1.0,0.9313725490196079,0.9313725490196079,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.04384833574295044,nan,3.4480555583871805e-15
000862,0.6031746031746031,0.6031746031746031,1.0,1.0,0.6909090909090909,0.6909090909090909,259.3994140625,259.3994140625,1,1,0,0,0,0,0,0,0,0.0,0.030668331310153008,nan,0.00010727086919359863
000616,0.5897435897435898,0.5897435897435898,1.0,1.0,0.696969696969697,0.696969696969697,152.587890625,152.587890625,0,0,0,0,0,0,0,0,0,0.0,0.03584634140133858,nan,1.7429604309317226e-13
000051,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1083727702498436,nan,1.1262359707347623e-15
000400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.12437344342470169,nan,2.6182345747309717e-14
000455,0.8846153846153846,0.8846153846153846,1.0,1.0,0.8961038961038961,0.8961038961038961,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.029305264353752136,nan,2.2532064755664827e-11
000809,0.39473684210526316,0.39473684210526316,0.5,0.5,0.7894736842105263,0.7894736842105263,61.03515625,61.03515625,0,0,0,0,0,0,0,0,0,0.0,0.0757792592048645,nan,5.986514939607319e-16
001013,0.9672131147540983,0.9672131147540983,1.0,1.0,0.9833333333333333,0.9833333333333333,15.2587890625,15.2587890625,0,0,0,0,0,0,0,0,0,0.0,0.015203488059341908,nan,6.335828891835269e-15
000110,0.7297297297297297,0.7297297297297297,1.0,1.0,0.84375,0.84375,76.2939453125,76.2939453125,0,0,0,0,0,0,0,0,0,0.0,0.06722250580787659,nan,3.0742666950274358e-15
000634,0.5454545454545454,0.5454545454545454,1.0,1.0,0.631578947368421,0.631578947368421,106.8115234375,106.8115234375,0,0,0,0,0,0,0,0,0,0.0,0.04983900859951973,nan,7.663400994242352e-15
000838,0.6530612244897959,0.6530612244897959,1.0,1.0,0.7804878048780488,0.7804878048780488,137.3291015625,137.3291015625,0,0,0,0,0,0,0,0,0,0.0,0.14472930133342743,nan,1.0730765932466662e-16
001184,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.18574705719947815,nan,2.380104576968356e-13
001077,0.9591836734693877,0.9591836734693877,1.0,1.0,0.9591836734693877,0.9591836734693877,30.517578125,30.517578125,0,0,0,0,0,0,0,0,0,0.0,6.449344073189422e-05,nan,1.5278600308071778e-16
000694,0.6909090909090909,0.6909090909090909,1.0,1.0,0.8085106382978723,0.8085106382978723,137.3291015625,137.3291015625,0,0,0,0,0,0,0,0,0,0.0,0.08840996026992798,nan,6.306211537801575e-15
000412,0.7857142857142857,0.7857142857142857,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.14452561736106873,nan,2.2175500436036506e-14
000836,0.7083333333333334,0.7083333333333334,1.0,1.0,0.8095238095238095,0.8095238095238095,122.0703125,122.0703125,0,0,0,0,0,0,0,0,0,0.0,0.14115163683891296,nan,3.1338751038667567e-12
000344,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.026594489812850952,nan,7.617916172007744e-15
