image_id,bg_reconstruction_error,target_residual_mean,background_residual_mean,target_residual_bg_ratio,candidate_pixels,far_pixels,ohem_budget,candidate_to_budget_ratio,target_leakage_pixels,flat_candidate_ratio,residual_auroc_target_vs_far
000446,0.17898358404636383,0.9001494646072388,0.17898361384868622,5.029228348066714,0,64983,649,0.0,0,0.0,0.9691288389008621
000193,0.24921520054340363,1.031296730041504,0.249215230345726,4.1381769830472575,0,64766,647,0.0,0,0.0,0.9346880231584821
000746,0.47314533591270447,2.18215274810791,0.47314536571502686,4.612013360439866,0,64642,646,0.0,0,0.0,0.9500229779411765
000733,0.14621993899345398,1.7707030773162842,0.14621993899345398,12.109860594289781,0,64733,647,0.0,0,0.0,0.9910828637295082
000621,0.3014557957649231,1.2434148788452148,0.3014557957649231,4.124700524301204,0,64892,648,0.0,0,0.0,0.8838588169642857
001131,0.11116772890090942,1.0165165662765503,0.11116772890090942,9.143989684116274,0,64380,643,0.0,0,0.0,0.9992336697048612
000085,0.1042822077870369,0.8613699078559875,0.1042822003364563,8.259989768885408,0,65247,652,0.0,0,0.0,0.9922960069444444
000064,0.28870490193367004,0.3571597635746002,0.28870487213134766,1.237110274370807,0,65332,653,0.0,0,0.0,0.7427300347222222
000312,0.4342671036720276,1.3547580242156982,0.43426713347435,3.119642081538545,0,64923,649,0.0,0,0.0,0.9126118093297102
000213,0.16570653021335602,2.373126983642578,0.1657065451145172,14.321262820382545,0,64731,647,0.0,0,0.0,0.9954194568452381
001297,0.5189462304115295,3.0920803546905518,0.5189462304115295,5.958382918088645,0,64869,648,0.0,0,0.0,0.9836029052734375
001039,0.12492597848176956,1.0267815589904785,0.12492598593235016,8.219119115429681,0,64948,649,0.0,0,0.0,0.981201171875
000066,0.17223216593265533,0.46037641167640686,0.17223218083381653,2.6729987941139473,0,65298,652,0.0,0,0.0,0.8626302083333334
000002,0.22378824651241302,1.1645265817642212,0.22378823161125183,5.2036989317076765,0,65247,652,0.0,0,0.0,0.988037109375
000843,0.1365610957145691,1.2671998739242554,0.13656112551689148,9.279360206851203,0,64838,648,0.0,0,0.0,0.974664306640625
000659,0.49764254689216614,2.0468499660491943,0.49764254689216614,4.113092778806803,0,64840,648,0.0,0,0.0,0.9016177528782895
000298,0.13016575574874878,0.9859069585800171,0.13016575574874878,7.57424218765383,0,64351,643,0.0,0,0.0,0.9834082818800404
000227,0.13951891660690308,0.8003066182136536,0.13951893150806427,5.736186548758047,0,64668,646,0.0,0,0.0,0.9128383091517858
000951,0.5515131950378418,2.0752451419830322,0.5515132546424866,3.7628200673586547,0,64894,648,0.0,0,0.0,0.9454238623903509
000299,0.14132530987262726,1.0884817838668823,0.14132530987262726,7.701959294113008,0,64946,649,0.0,0,0.0,0.9816835702183735
000937,0.5883368849754333,1.8991913795471191,0.5883368849754333,3.2280678435220356,0,64899,648,0.0,0,0.0,0.8890706380208333
000547,0.32592353224754333,2.0261731147766113,0.3259235620498657,6.216712599829191,0,65091,650,0.0,0,0.0,0.9895920973557693
000948,0.49061769247055054,1.330454707145691,0.49061769247055054,2.7117952074782785,0,64936,649,0.0,0,0.0,0.907691811615566
000859,0.30473706126213074,0.5943833589553833,0.30473703145980835,1.9504795859828945,0,64786,647,0.0,0,0.0,0.8215119735054348
000058,0.17792846262454987,0.9176762104034424,0.17792847752571106,5.1575566944916735,0,65247,652,0.0,0,0.0,0.9800347222222222
000422,0.49119266867637634,1.21538245677948,0.49119263887405396,2.4743498997978968,0,65216,652,0.0,0,0.0,0.8953450520833334
