image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
001280,1,0.9393939393939394,0.9375,-0.0018939393939394478,1.0,1.0,0.0,0.9393939393939394,0.967741935483871,0.02834799608993155,30.517578125,15.2587890625,-15.2587890625,0,0,0,0,0,1,2,0,0,0,1,2,1,-1,0,0,0,0,0,0,0.9870210886001587,0.9667328596115112,-0.02028822898864746,5.335978130460717e-07,1.6746935216360725e-07,-3.661284608824644e-07
000167,2,0.75,0.5555555555555556,-0.19444444444444442,1.0,1.0,0.0,0.8666666666666667,0.6730769230769231,-0.19358974358974357,91.552734375,259.3994140625,167.8466796875,0,0,0,0,0,4,5,0,0,0,2,6,17,11,0,0,0,0,0,0,0.8290101885795593,0.7519755363464355,-0.07703465223312378,4.2918518516898985e-08,1.442257513417644e-08,-2.8495943382722544e-08
000332,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996582865715027,0.9999971389770508,0.0003388524055480957,5.187617801993838e-08,2.8110699545891293e-08,-2.3765478474047086e-08
000499,1,0.922077922077922,0.8875,-0.034577922077922096,1.0,1.0,0.0,0.9342105263157895,0.8987341772151899,-0.0354763491005996,76.2939453125,122.0703125,45.7763671875,0,0,0,0,0,1,1,0,0,0,1,5,8,3,0,0,0,0,0,0,0.9781401753425598,0.9705945253372192,-0.007545650005340576,2.053977141258656e-06,3.4762288692036236e-07,-1.7063542827600031e-06
001066,1,0.922077922077922,0.935064935064935,0.012987012987012991,1.0,1.0,0.0,0.9726027397260274,0.972972972972973,0.0003702332469456282,30.517578125,30.517578125,0.0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0.9345076680183411,0.9358580708503723,0.00135040283203125,2.5362970745845814e-07,9.204428330633618e-09,-2.4442528001600294e-07
000611,1,0.5714285714285714,0.5,-0.0714285714285714,1.0,1.0,0.0,0.64,0.5517241379310345,-0.08827586206896554,137.3291015625,198.3642578125,61.03515625,0,2,2,0,0,0,0,0,2,0,1,9,9,0,0,0,0,0,4,4,0.8420767784118652,0.8417837023735046,-0.0002930760383605957,6.666007266176166e-07,1.0713370102166664e-07,-5.5946702559595e-07
001188,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995920658111572,0.9998743534088135,0.00028228759765625,1.3663081332992988e-08,4.494699279433689e-09,-9.168381609470089e-09
001238,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9989787340164185,0.9998646974563599,0.0008859634399414062,8.370084714215409e-08,9.860453786814105e-08,1.4903690725986962e-08
001195,4,0.9722222222222222,1.0,0.02777777777777779,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9768780469894409,0.9994790554046631,0.022601008415222168,1.6408321812377835e-08,2.3032068696693386e-08,6.623746884315551e-09
000980,1,0.8461538461538461,0.868421052631579,0.022267206477732837,1.0,1.0,0.0,0.868421052631579,0.8918918918918919,0.023470839260312903,76.2939453125,61.03515625,-15.2587890625,0,0,0,0,0,1,2,0,0,0,1,5,4,-1,0,0,0,0,0,0,0.9518778324127197,0.9748311042785645,0.022953271865844727,2.4245341023743094e-07,1.1072170309489593e-06,8.647635922898189e-07
000194,2,0.8620689655172413,0.5774647887323944,-0.28460417678484695,1.0,1.0,0.0,0.9615384615384616,0.7321428571428571,-0.22939560439560447,30.517578125,228.8818359375,198.3642578125,0,0,0,0,0,9,10,0,1,0,1,2,15,13,0,0,0,0,0,0,0.8931931257247925,0.7632357478141785,-0.129957377910614,1.6605136465841497e-07,4.193262626017713e-08,-1.2411874195095152e-07
000315,1,0.9285714285714286,0.9795918367346939,0.05102040816326525,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923850953578949,0.9789328575134277,0.05508190393447876,2.3532655291091942e-07,4.361420380405434e-08,-1.917123455541514e-07
000391,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997096061706543,0.9998679161071777,0.0027718544006347656,3.4863433029386215e-08,6.459117685153615e-08,2.9727743822149932e-08
000704,2,0.7413793103448276,0.5692307692307692,-0.17214854111405842,1.0,1.0,0.0,0.8431372549019608,0.7115384615384616,-0.13159879336349922,122.0703125,228.8818359375,106.8115234375,0,0,0,0,0,8,10,0,0,0,2,8,15,7,0,0,0,0,0,0,0.86077880859375,0.7636352777481079,-0.09714353084564209,1.0521208793079495e-07,3.4711494123484954e-08,-7.050059025459632e-08
000930,1,0.8356164383561644,0.7011494252873564,-0.13446701306880804,1.0,1.0,0.0,0.8970588235294118,0.7439024390243902,-0.15315638450502156,106.8115234375,320.4345703125,213.623046875,0,1,1,0,0,1,3,0,1,0,1,7,5,-2,0,16,16,0,0,0,0.9031456708908081,0.9150720238685608,0.011926352977752686,1.9267933737410203e-07,0.00024205732916016132,0.0002418646472506225
