image_name,target_components,ohem_mIoU,candidate_mIoU,per_image_delta_mIoU,ohem_Pd,candidate_Pd,per_image_delta_Pd,ohem_Precision,candidate_Precision,per_image_delta_precision,ohem_FA_ppm,candidate_FA_ppm,per_image_delta_FA,ohem_FP_components,candidate_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,candidate_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,candidate_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,candidate_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_candidate,target_prob_delta,far_bg_prob_ohem,far_bg_prob_candidate,far_bg_prob_delta
000150,1,0.8260869565217391,0.48148148148148145,-0.3446054750402577,1.0,1.0,0.0,0.8636363636363636,0.65,-0.21363636363636362,45.7763671875,106.8115234375,61.03515625,0,0,0,0,0,6,7,0,0,0,1,3,7,4,0,0,0,0,0,0,0.9344304800033569,0.7004346251487732,-0.23399585485458374,1.3517335162305244e-07,1.900102688523475e-07,5.483691722929507e-08
000803,2,0.8108108108108109,0.4666666666666667,-0.3441441441441442,1.0,1.0,0.0,0.8571428571428571,0.6176470588235294,-0.23949579831932766,76.2939453125,198.3642578125,122.0703125,0,0,0,0,0,10,11,0,0,0,2,5,13,8,0,0,0,0,0,0,0.905698299407959,0.6986849904060364,-0.2070133090019226,8.38852045603744e-08,3.0171651843602376e-08,-5.371355271677203e-08
000811,2,0.8,0.46808510638297873,-0.3319148936170213,1.0,1.0,0.0,0.9655172413793104,0.6285714285714286,-0.33694581280788183,15.2587890625,198.3642578125,183.10546875,0,0,0,0,0,6,6,0,1,0,1,1,13,12,0,0,0,0,0,0,0.8295742869377136,0.6821470856666565,-0.14742720127105713,1.8067147777856007e-08,1.4527505864947443e-09,-1.6614396969316658e-08
000138,1,0.85,0.52,-0.32999999999999996,1.0,1.0,0.0,0.9444444444444444,0.6842105263157895,-0.26023391812865493,15.2587890625,91.552734375,76.2939453125,0,0,0,0,0,4,5,0,0,0,1,1,6,5,0,0,0,0,0,0,0.856761634349823,0.7376931309700012,-0.11906850337982178,7.456411026396381e-07,1.3815773058922787e-07,-6.074833436287008e-07
000111,2,0.8055555555555556,0.4772727272727273,-0.3282828282828283,1.0,1.0,0.0,0.8787878787878788,0.6363636363636364,-0.24242424242424243,61.03515625,183.10546875,122.0703125,0,0,0,0,0,10,11,0,0,0,2,4,12,8,0,0,0,0,0,0,0.8996211886405945,0.6876533627510071,-0.2119678258895874,3.504452905644939e-08,6.916336303675052e-08,3.411883398030113e-08
000188,2,0.847457627118644,0.5211267605633803,-0.3263308665552638,1.0,1.0,0.0,0.9090909090909091,0.6851851851851852,-0.22390572390572383,76.2939453125,259.3994140625,183.10546875,0,0,0,0,0,13,15,0,0,0,2,5,17,12,0,0,0,0,0,0,0.900981605052948,0.7040552496910095,-0.19692635536193848,8.912885363088208e-08,5.754453269446458e-08,-3.15843209364175e-08
000416,1,0.8421052631578947,0.5217391304347826,-0.3203661327231121,1.0,1.0,0.0,0.8888888888888888,0.6666666666666666,-0.2222222222222222,30.517578125,91.552734375,61.03515625,0,0,0,0,0,4,4,0,0,0,1,2,6,4,0,0,0,0,0,0,0.9337373375892639,0.7215762138366699,-0.212161123752594,1.965318006114103e-07,2.0753017793140316e-07,1.0998377319992869e-08
000766,1,0.7058823529411765,0.3888888888888889,-0.3169934640522876,1.0,1.0,0.0,0.75,0.5833333333333334,-0.16666666666666663,61.03515625,76.2939453125,15.2587890625,0,0,0,0,0,5,5,0,0,0,1,4,5,1,0,0,0,0,0,0,0.9204606413841248,0.5897965431213379,-0.33066409826278687,1.770807678269648e-08,1.3166473467052242e-09,-1.639142865883514e-08
000137,2,0.8048780487804879,0.4897959183673469,-0.3150821304131409,1.0,1.0,0.0,0.9166666666666666,0.6857142857142857,-0.2309523809523809,45.7763671875,167.8466796875,122.0703125,0,0,0,0,0,10,10,0,0,0,2,3,11,8,0,0,0,0,0,0,0.8690798878669739,0.6508257985115051,-0.21825408935546875,1.2762990309056477e-07,5.828264093565849e-08,-6.934726570761995e-08
000722,2,0.65625,0.34375,-0.3125,1.0,0.5,-0.5,0.84,0.7333333333333333,-0.10666666666666669,122.0703125,122.0703125,0.0,0,0,0,1,0,21,25,0,0,1,1,8,8,0,0,0,0,0,0,0,0.743431031703949,0.39186781644821167,-0.3515632152557373,1.0474660427917115e-07,3.7674620756433796e-08,-6.707197997002368e-08
000787,1,0.8823529411764706,0.5714285714285714,-0.31092436974789917,1.0,1.0,0.0,0.8823529411764706,0.6666666666666666,-0.21568627450980393,30.517578125,91.552734375,61.03515625,0,0,0,0,0,3,4,0,0,0,1,2,6,4,0,0,0,0,0,0,0.9954951405525208,0.7727071642875671,-0.2227879762649536,5.1213540075423225e-08,1.8026627301992448e-08,-3.3186914549787616e-08
000178,1,0.8076923076923077,0.5,-0.3076923076923077,1.0,1.0,0.0,0.9545454545454546,0.6956521739130435,-0.2588932806324111,15.2587890625,106.8115234375,91.552734375,0,0,0,0,0,5,5,0,0,0,1,1,7,6,0,0,0,0,0,0,0.8347189426422119,0.6889263391494751,-0.14579260349273682,1.3559207445723587e-07,2.0790293930872394e-08,-1.1480177875000663e-07
000729,1,0.7941176470588235,0.48717948717948717,-0.3069381598793363,1.0,1.0,0.0,0.8709677419354839,0.6785714285714286,-0.19239631336405527,61.03515625,137.3291015625,76.2939453125,0,0,0,0,0,8,8,0,0,0,1,4,9,5,0,0,0,0,0,0,0.8817033767700195,0.6550458073616028,-0.22665756940841675,5.965527520856995e-07,9.200753225968583e-08,-5.045451985097316e-07
000140,2,0.7954545454545454,0.49019607843137253,-0.3052584670231729,1.0,1.0,0.0,0.8974358974358975,0.6944444444444444,-0.20299145299145305,61.03515625,167.8466796875,106.8115234375,0,0,0,0,0,10,11,0,0,0,2,4,11,7,0,0,0,0,0,0,0.8857461214065552,0.6415144205093384,-0.2442317008972168,1.1010687472889913e-07,4.955341736945229e-08,-6.055346091216052e-08
