image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
XDU93,0.5,0.8095238095238095,0.8095238095238095,1.0,1,1,7.62939453125e-06,7.62939453125,0.9714285714285714,0.8292682926829268,0.8947368421052632,2,82,0,82,0.8249199390411377,1.0336267223465256e-05
XDU205,0.5,0.5454545454545454,0.5454545454545454,1.0,1,1,7.62939453125e-06,7.62939453125,0.9230769230769231,0.5714285714285714,0.7058823529411765,2,42,0,42,0.5530819892883301,7.50628214518656e-06
XDU9,0.5,0.0423728813559322,0.0423728813559322,1.0,1,1,0.000392913818359375,392.913818359375,0.046296296296296294,0.3333333333333333,0.08130081300813008,103,15,5,15,0.3234412968158722,0.00040809137863107026
XDU219,0.5,0.4177215189873418,0.4177215189873418,0.5,2,4,0.0,0.0,1.0,0.4177215189873418,0.5892857142857143,0,79,0,79,0.41936546564102173,1.2041660113482067e-07
XDU674,0.5,0.2028985507246377,0.2028985507246377,1.0,2,2,0.00017547607421875,175.47607421875,0.23333333333333334,0.6086956521739131,0.3373493975903614,46,23,1,23,0.6210805177688599,0.00017864309484139085
XDU501,0.5,0.56,0.56,1.0,1,1,1.52587890625e-05,15.2587890625,0.7777777777777778,0.6666666666666666,0.717948717948718,4,21,0,21,0.6758396625518799,1.6380608940380625e-05
XDU316,0.5,0.689922480620155,0.689922480620155,1.0,2,2,2.6702880859375e-05,26.702880859375,0.9270833333333334,0.7295081967213115,0.8165137614678899,7,122,0,122,0.7161962389945984,2.6488192816032097e-05
XDU343,0.5,0.7692307692307693,0.7692307692307693,1.0,1,1,0.0,0.0,1.0,0.7692307692307693,0.8695652173913044,0,13,0,13,0.7613333463668823,6.366481557051884e-06
XDU885,0.5,0.5,0.5,1.0,1,1,7.62939453125e-06,7.62939453125,0.8333333333333334,0.5555555555555556,0.6666666666666667,2,18,0,18,0.5436945557594299,7.574302799184807e-06
XDU426,0.5,0.11730205278592376,0.11730205278592376,0.0,0,1,0.000202178955078125,202.178955078125,0.43010752688172044,0.1388888888888889,0.20997375328083992,53,288,2,288,0.1452079862356186,0.00022178504150360823
XDU485,0.5,0.47692307692307695,0.47692307692307695,1.0,1,1,7.62939453125e-05,76.2939453125,0.6078431372549019,0.6888888888888889,0.6458333333333334,20,45,1,45,0.6817570328712463,7.765647751512006e-05
XDU850,0.5,0.029585798816568046,0.029585798816568046,0.0,0,2,0.000225067138671875,225.067138671875,0.078125,0.045454545454545456,0.0574712643678161,59,110,6,110,0.05229371786117554,0.00023137006792239845
XDU516,0.5,0.7016129032258065,0.7016129032258065,1.0,2,2,9.1552734375e-05,91.552734375,0.7837837837837838,0.87,0.8246445497630331,24,100,0,100,0.8571096062660217,9.054761903826147e-05
XDU216,0.5,0.7777777777777778,0.7777777777777778,1.0,1,1,0.0,0.0,1.0,0.7777777777777778,0.8750000000000001,0,27,0,27,0.7596630454063416,1.4983484675212821e-07
XDU160,0.5,0.4117647058823529,0.4117647058823529,1.0,1,1,0.0,0.0,1.0,0.4117647058823529,0.5833333333333334,0,34,0,34,0.40179014205932617,3.439789963977091e-08
XDU176,0.5,0.8,0.8,1.0,1,1,0.0,0.0,1.0,0.8,0.888888888888889,0,10,0,10,0.7907975912094116,5.9290012899282374e-08
XDU504,0.5,0.6755555555555556,0.6755555555555556,0.5,1,2,3.4332275390625e-05,34.332275390625,0.9440993788819876,0.7037037037037037,0.8063660477453581,9,216,0,216,0.689052164554596,3.511570321279578e-05
XDU883,0.5,0.3333333333333333,0.3333333333333333,1.0,1,1,3.4332275390625e-05,34.332275390625,0.35714285714285715,0.8333333333333334,0.5,9,6,1,6,0.8332898020744324,3.2500225643161684e-05
XDU244,0.5,0.725,0.725,1.0,2,2,0.0,0.0,1.0,0.725,0.8405797101449275,0,40,0,40,0.7006196975708008,1.749765061731523e-07
XDU919,0.5,0.5974025974025974,0.5974025974025974,0.75,3,4,1.52587890625e-05,15.2587890625,0.92,0.6301369863013698,0.7479674796747968,4,73,1,73,0.6466891169548035,1.633346255403012e-05
XDU781,0.5,0.6206896551724138,0.6206896551724138,1.0,1,1,3.814697265625e-05,38.14697265625,0.6428571428571429,0.9473684210526315,0.7659574468085106,10,19,0,19,0.9285338521003723,3.991647463408299e-05
XDU369,0.5,0.6554621848739496,0.6554621848739496,1.0,1,1,4.9591064453125e-05,49.591064453125,0.8571428571428571,0.7358490566037735,0.7918781725888324,13,106,1,106,0.6996806859970093,5.3806907089892775e-05
XDU398,0.5,0.5306122448979592,0.5306122448979592,1.0,2,2,6.103515625e-05,61.03515625,0.6190476190476191,0.7878787878787878,0.6933333333333334,16,33,1,33,0.7614037990570068,6.448638305300847e-05
XDU441,0.5,0.41935483870967744,0.41935483870967744,0.5,1,2,1.1444091796875e-05,11.444091796875,0.9285714285714286,0.43333333333333335,0.5909090909090909,3,90,0,90,0.42621132731437683,1.2264591532584745e-05
XDU75,0.5,0.6111111111111112,0.6111111111111112,1.0,1,1,7.62939453125e-06,7.62939453125,0.8461538461538461,0.6875,0.7586206896551724,2,16,1,16,0.7155402898788452,2.0557734387693927e-05
XDU240,0.5,0.6341463414634146,0.6341463414634146,1.0,1,1,0.0,0.0,1.0,0.6341463414634146,0.7761194029850745,0,41,0,41,0.6784716248512268,1.1121710485895164e-06
XDU805,0.5,0.5,0.5,1.0,2,2,5.340576171875e-05,53.40576171875,0.5757575757575758,0.7916666666666666,0.6666666666666667,14,24,2,24,0.7999691963195801,5.620584124699235e-05
XDU108,0.5,0.7631578947368421,0.7631578947368421,1.0,1,1,0.0,0.0,1.0,0.7631578947368421,0.8656716417910448,0,38,0,38,0.7649497389793396,4.1217668922399753e-07
XDU709,0.5,0.0,0.0,0.0,0,1,5.340576171875e-05,53.40576171875,0.0,0.0,0.0,14,31,3,31,2.9201473807916045e-06,5.5643053201492876e-05
XDU352,0.5,0.23684210526315788,0.23684210526315788,0.6666666666666666,2,3,0.0,0.0,1.0,0.23684210526315788,0.38297872340425526,0,76,0,76,0.22899532318115234,5.833673455413191e-08
