image_name,target_components,ohem_mIoU,erd_mIoU,per_image_delta_mIoU,ohem_Pd,erd_Pd,per_image_delta_Pd,ohem_Precision,erd_Precision,per_image_delta_precision,ohem_FA_ppm,erd_FA_ppm,per_image_delta_FA,ohem_FP_components,erd_FP_components,delta_FP_components,target_lost_count,target_gained_count,target_shrink_pixels,target_over_suppressed_pixels,removed_far_fp_pixels,new_fp_components,removed_fp_components,retained_fp_components,ohem_boundary_excess_pixels,erd_boundary_excess_pixels,boundary_excess_delta,ohem_far_fp_pixels,erd_far_fp_pixels,far_fp_delta,ohem_detached_near_fp_pixels,erd_detached_near_fp_pixels,detached_near_fp_delta,target_prob_ohem,target_prob_erd,target_prob_delta,far_bg_prob_ohem,far_bg_prob_erd,far_bg_prob_delta,erd_suppression_target_mean,erd_suppression_target_dilate_mean,erd_suppression_far_bg_mean,erd_protection_target_mean,erd_protection_far_bg_mean,erd_clutter_target_mean,erd_clutter_far_bg_mean
000765,1,0.7647058823529411,0.5,-0.2647058823529411,1.0,1.0,0.0,0.7647058823529411,0.6428571428571429,-0.12184873949579822,61.03515625,76.2939453125,15.2587890625,0,0,0,0,0,4,5,0,0,0,1,4,5,1,0,0,0,0,0,0,0.9761629700660706,0.7452218532562256,-0.23094111680984497,4.421024613066038e-08,3.640389678594147e-08,-7.80634934471891e-09,3.475684886388999e-17,1.634584467780087e-09,2.4675421714782715,1.0,0.271884024143219,1.4339944698349427e-07,0.7211376428604126
000713,2,0.8448275862068966,0.5882352941176471,-0.2565922920892495,1.0,1.0,0.0,0.9245283018867925,0.7407407407407407,-0.18378756114605177,61.03515625,213.623046875,152.587890625,0,0,0,0,0,10,11,0,0,0,2,4,14,10,0,0,0,0,0,0,0.8990936279296875,0.771389901638031,-0.1277037262916565,8.756731517678418e-08,2.2834390378534408e-08,-6.473292302189293e-08,1.0367692761161645e-13,1.8779217043629615e-06,1.7747981548309326,0.9999998807907104,0.4837320148944855,8.79532251474302e-08,0.5498700141906738
000783,1,0.875,0.6190476190476191,-0.25595238095238093,1.0,1.0,0.0,0.875,0.65,-0.22499999999999998,30.517578125,106.8115234375,76.2939453125,0,0,0,0,0,1,2,0,0,0,1,2,7,5,0,0,0,0,0,0,0.9818953275680542,0.9238258004188538,-0.05806952714920044,8.832226683352928e-08,2.4510557139478806e-08,-6.381171147040732e-08,4.974443657690267e-15,1.2154505700523455e-11,2.5902228355407715,1.0,0.2913668155670166,5.7384812457428325e-09,0.7303699254989624
000150,1,0.8260869565217391,0.5714285714285714,-0.25465838509316774,1.0,1.0,0.0,0.8636363636363636,0.6666666666666666,-0.19696969696969702,45.7763671875,122.0703125,76.2939453125,0,0,0,0,0,4,5,0,0,0,1,3,8,5,0,0,0,0,0,0,0.9344304800033569,0.8120983242988586,-0.12233215570449829,1.3517335162305244e-07,1.4947643123264243e-08,-1.2022570672343136e-07,0.0,3.373885060220516e-10,1.755605697631836,1.0,0.48045793175697327,1.5509790785017685e-07,0.5333679914474487
001236,1,1.0,0.75,-0.25,1.0,1.0,0.0,1.0,0.75,-0.25,0.0,45.7763671875,45.7763671875,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0.9998635053634644,0.9995705485343933,-0.0002929568290710449,1.388286676728967e-07,4.6105419926334434e-08,-9.272324774656227e-08,0.0,3.4652541388647054e-17,2.3459882736206055,1.0,0.3671347498893738,7.666828977237472e-12,0.6623761653900146
000815,2,0.8095238095238095,0.5625,-0.24702380952380953,1.0,1.0,0.0,0.8292682926829268,0.675,-0.15426829268292674,106.8115234375,198.3642578125,91.552734375,0,0,0,0,0,7,8,0,0,0,2,7,13,6,0,0,0,0,0,0,0.9531325101852417,0.7567707896232605,-0.1963617205619812,4.76387427283953e-08,1.0854486198752511e-08,-3.678425741782121e-08,5.080914022848049e-10,0.00027649514959193766,2.272036075592041,0.9999945759773254,0.32226186990737915,2.4872097128536552e-05,0.6734585165977478
000789,2,0.7575757575757576,0.5121951219512195,-0.24538063562453805,1.0,1.0,0.0,0.8928571428571429,0.65625,-0.2366071428571429,45.7763671875,167.8466796875,122.0703125,0,0,0,0,0,6,7,0,1,0,1,3,11,8,0,0,0,0,0,0,0.8434674739837646,0.7002348303794861,-0.14323264360427856,8.074304247429609e-08,1.613238431730224e-08,-6.461065993335069e-08,9.63901015893498e-07,0.000372208101907745,2.8077352046966553,0.9997195601463318,0.251436322927475,0.00023993643117137253,0.7870715260505676
000124,2,0.723404255319149,0.4782608695652174,-0.24514338575393158,1.0,1.0,0.0,0.7555555555555555,0.6875,-0.06805555555555554,167.8466796875,152.587890625,-15.2587890625,0,0,0,0,0,12,18,0,0,0,2,11,10,-1,0,0,0,0,0,0,0.9265740513801575,0.602647066116333,-0.32392698526382446,2.821502960159705e-07,2.1385682558161534e-08,-2.6076460812873847e-07,0.00011412900494178757,0.003855813993141055,2.1477272510528564,0.9987660646438599,0.40924689173698425,0.003285020822659135,0.6283506155014038
000630,1,0.7894736842105263,0.5454545454545454,-0.2440191387559809,1.0,1.0,0.0,0.7894736842105263,0.631578947368421,-0.1578947368421053,61.03515625,106.8115234375,45.7763671875,0,0,0,0,0,3,3,0,0,0,1,4,7,3,0,0,0,0,0,0,0.9940665364265442,0.7445372343063354,-0.24952930212020874,4.267819235792558e-07,6.221035420139742e-08,-3.6457157648328575e-07,7.277369328421231e-16,1.733288165772784e-11,1.5935869216918945,1.0,0.5620455145835876,1.0089546087499457e-08,0.5112080574035645
000155,1,0.76,0.5185185185185185,-0.24148148148148152,1.0,1.0,0.0,0.8260869565217391,0.7,-0.12608695652173918,61.03515625,91.552734375,30.517578125,0,0,0,0,0,5,7,0,0,0,1,4,6,2,0,0,0,0,0,0,0.8599709868431091,0.7255662083625793,-0.13440477848052979,3.39239988988993e-07,3.9300132925745856e-08,-2.9993987027410185e-07,0.0,1.9414048146870755e-09,2.135901689529419,1.0,0.36171650886535645,1.9665376385091804e-06,0.652987539768219
000817,2,0.7560975609756098,0.5208333333333334,-0.2352642276422764,1.0,1.0,0.0,0.8611111111111112,0.6756756756756757,-0.1854354354354355,76.2939453125,183.10546875,106.8115234375,0,0,0,0,0,7,9,0,0,0,2,5,12,7,0,0,0,0,0,0,0.8577614426612854,0.7079295516014099,-0.1498318910598755,1.031547753882478e-07,1.3510010887785029e-08,-8.964476450046277e-08,3.0917643445427245e-11,4.249192897987086e-06,2.834653854370117,0.9999990463256836,0.23280192911624908,1.021461866912432e-05,0.7902809381484985
000853,2,0.7551020408163265,0.5272727272727272,-0.22782931354359925,1.0,1.0,0.0,0.8604651162790697,0.7073170731707317,-0.15314804310833807,91.552734375,183.10546875,91.552734375,0,0,0,0,0,8,12,0,0,0,2,6,12,6,0,0,0,0,0,0,0.8770255446434021,0.736950695514679,-0.14007484912872314,8.923481686906598e-08,1.206821931276636e-08,-7.71665966681212e-08,3.9012155593660947e-13,2.6302490852003757e-08,2.4174044132232666,1.0,0.3227686583995819,5.593103651335696e-07,0.7210508584976196
000162,2,0.8444444444444444,0.6226415094339622,-0.2218029350104822,1.0,1.0,0.0,0.95,0.7674418604651163,-0.18255813953488365,30.517578125,152.587890625,122.0703125,0,0,0,0,0,7,8,0,1,0,1,2,10,8,0,0,0,0,0,0,0.8763288259506226,0.7636270523071289,-0.11270177364349365,1.5008839682195685e-07,5.5981523416903656e-08,-9.410687340505319e-08,3.9020306083492606e-13,5.867285768346164e-09,2.705876588821411,0.9999998211860657,0.2799443304538727,2.340718339155501e-07,0.7645541429519653
000106,1,0.6,0.38095238095238093,-0.21904761904761905,1.0,1.0,0.0,0.7058823529411765,0.5714285714285714,-0.13445378151260512,76.2939453125,91.552734375,15.2587890625,0,0,0,0,0,4,5,0,0,0,1,5,6,1,0,0,0,0,0,0,0.846113383769989,0.6874490976333618,-0.1586642861366272,9.190804917125206e-08,3.5230645067940713e-08,-5.6677404103311346e-08,0.0,1.3771071956381054e-11,1.3228578567504883,1.0,0.5695305466651917,2.2873343219487197e-09,0.45359551906585693
000808,2,0.6585365853658537,0.44680851063829785,-0.21172807472755584,1.0,1.0,0.0,0.7941176470588235,0.6176470588235294,-0.17647058823529405,106.8115234375,198.3642578125,91.552734375,0,0,0,0,0,6,8,0,0,0,2,7,13,6,0,0,0,0,0,0,0.7829619646072388,0.6025130748748779,-0.18044888973236084,4.19069401402794e-08,1.8584890071338123e-08,-2.332205006894128e-08,1.2826149864419989e-11,5.163603873370448e-06,2.60383677482605,0.9999998807907104,0.3112432062625885,3.797149474848993e-06,0.7334751486778259
000140,2,0.7954545454545454,0.5869565217391305,-0.20849802371541493,1.0,1.0,0.0,0.8974358974358975,0.8181818181818182,-0.07925407925407923,61.03515625,91.552734375,30.517578125,0,0,0,0,0,9,10,0,0,0,2,4,6,2,0,0,0,0,0,0,0.8857461214065552,0.6982296705245972,-0.187516450881958,1.1010687472889913e-07,2.332927451220712e-08,-8.677760376940569e-08,1.211998302283815e-13,1.1605120420199455e-08,2.191948175430298,0.9999998807907104,0.4148823916912079,1.3029634260419698e-07,0.6349032521247864
000836,2,0.7083333333333334,0.5,-0.20833333333333337,1.0,1.0,0.0,0.8095238095238095,0.6842105263157895,-0.12531328320802004,122.0703125,183.10546875,61.03515625,0,0,0,0,0,8,10,0,0,0,2,8,12,4,0,0,0,0,0,0,0.834151566028595,0.6637627482414246,-0.1703888177871704,9.305796133673994e-09,1.0843012709926825e-08,1.5372165762528311e-09,3.5056723149407e-13,6.60125891727148e-08,1.017428994178772,0.9999998211860657,0.6068471670150757,1.773734425114526e-06,0.33724355697631836
000192,2,0.7796610169491526,0.5714285714285714,-0.20823244552058118,1.0,1.0,0.0,0.9387755102040817,0.8372093023255814,-0.10156620787850024,45.7763671875,106.8115234375,61.03515625,0,0,0,0,0,11,12,0,0,0,1,3,7,4,0,0,0,0,0,0,0.8030923008918762,0.6946411728858948,-0.10845112800598145,5.561258120678758e-08,1.4618822596901282e-08,-4.099375772170788e-08,1.1420208528845066e-10,3.3841304230008973e-06,1.6077744960784912,0.999999463558197,0.48565956950187683,1.4667030882264953e-05,0.5166051983833313
000625,1,0.7777777777777778,0.5714285714285714,-0.2063492063492064,1.0,1.0,0.0,0.8235294117647058,0.6666666666666666,-0.1568627450980392,45.7763671875,91.552734375,45.7763671875,0,0,0,0,0,3,4,0,0,0,1,3,6,3,0,0,0,0,0,0,0.9355810880661011,0.7887059450149536,-0.14687514305114746,6.494151705283002e-08,1.0795377036743048e-08,-5.4146141792443814e-08,0.0,3.5475457207251315e-12,1.2517279386520386,1.0,0.5115169286727905,2.6021449439639355e-09,0.4095216691493988
000734,1,0.7428571428571429,0.5365853658536586,-0.2062717770034843,1.0,1.0,0.0,0.8666666666666667,0.6875,-0.1791666666666667,61.03515625,152.587890625,91.552734375,0,0,0,0,0,6,7,0,0,0,1,4,10,6,0,0,0,0,0,0,0.8614895343780518,0.7607017755508423,-0.10078775882720947,1.1638799435331748e-07,1.8834869663919562e-08,-9.755312646575476e-08,0.0,6.139640185143236e-11,2.2962357997894287,1.0,0.3362838923931122,9.348723892799171e-07,0.6839227080345154
000664,2,0.6956521739130435,0.4897959183673469,-0.20585625554569653,1.0,1.0,0.0,0.8,0.6857142857142857,-0.11428571428571432,122.0703125,167.8466796875,45.7763671875,0,0,0,0,0,9,12,0,0,0,2,8,11,3,0,0,0,0,0,0,0.8353042006492615,0.6456278562545776,-0.18967634439468384,3.703970463675432e-08,2.6135031916396656e-08,-1.0904672720357667e-08,0.03282754495739937,0.013826297596096992,1.6963311433792114,0.9854915142059326,0.5021229982376099,0.02575099654495716,0.551618218421936
000510,1,0.8028169014084507,0.5979381443298969,-0.20487875707855385,1.0,1.0,0.0,0.8142857142857143,0.5979381443298969,-0.2163475699558174,198.3642578125,595.0927734375,396.728515625,2,1,-1,0,0,0,2,0,0,0,3,3,1,-2,10,38,28,0,0,0,0.9760151505470276,0.9924578070640564,0.01644265651702881,0.0002175178233301267,0.0005835713818669319,0.00036605354398489,0.0,1.9329512990218234e-10,2.011216878890991,1.0,0.4351520538330078,9.046466353801463e-11,0.6210705637931824
000812,2,0.7045454545454546,0.5,-0.20454545454545459,1.0,1.0,0.0,0.775,0.6486486486486487,-0.12635135135135134,137.3291015625,198.3642578125,61.03515625,0,0,0,0,0,8,9,0,0,0,2,9,13,4,0,0,0,0,0,0,0.8925372958183289,0.7180628180503845,-0.17447447776794434,6.049210554692763e-08,9.736798034509775e-09,-5.075530751241786e-08,1.3373890753523576e-12,7.610827523762964e-10,1.6799826622009277,0.9999997019767761,0.4694766402244568,5.930983775215282e-07,0.5550524592399597
000166,2,0.6862745098039216,0.4827586206896552,-0.20351588911426638,1.0,1.0,0.0,0.8536585365853658,0.6829268292682927,-0.1707317073170731,91.552734375,198.3642578125,106.8115234375,0,0,0,0,0,8,9,0,0,0,2,6,13,7,0,0,0,0,0,0,0.7671018838882446,0.6446409225463867,-0.12246096134185791,1.060117114093373e-07,1.4208917598068638e-08,-9.180279647580392e-08,9.440872020781421e-14,8.837888890411705e-05,2.539048671722412,1.0,0.26164600253105164,4.884199711341353e-07,0.7154211401939392
