image_name,threshold,IoU,nIoU,Pd,detected_targets,target_components,FA,FA_ppm,Precision,Recall,F1,FP_pixels,GT_pixels,FP_components,target_area,mean_prob_target,mean_prob_bg
Misc_238,0.5,0.4782608695652174,0.4782608695652174,1.0,1,1,0.00013111158788052158,131.11158788052157,0.5,0.9166666666666666,0.6470588235294118,11,12,0,12,0.9329323768615723,0.00014699753955937922
Misc_23,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,0.0001,100.0,0.6666666666666666,1.0,0.8,3,6,1,6,0.9999436736106873,8.866950520314276e-05
Misc_270,0.5,0.6666666666666666,0.6666666666666666,1.0,1,1,0.0,0.0,1.0,0.6666666666666666,0.8,0,24,0,24,0.6603325605392456,5.180914897096045e-08
Misc_110,0.5,0.6037735849056604,0.6037735849056604,1.0,1,1,0.0004965542146919859,496.5542146919859,0.6597938144329897,0.8767123287671232,0.7529411764705882,33,73,1,73,0.8510048389434814,0.0004996065399609506
Misc_413,0.5,0.10344827586206896,0.10344827586206896,1.0,1,1,0.00036439684400646407,364.39684400646405,0.11538461538461539,0.5,0.1875,23,6,2,6,0.47455117106437683,0.004066449590027332
Misc_345,0.5,0.7272727272727273,0.7272727272727273,1.0,1,1,0.0001072041166380789,107.2041166380789,0.7619047619047619,0.9411764705882353,0.8421052631578947,10,34,0,34,0.9399022459983826,0.00011866153363371268
Misc_205,0.5,0.55,0.55,1.0,1,1,0.0,0.0,1.0,0.55,0.7096774193548387,0,20,0,20,0.5505318641662598,2.830009179888293e-06
Misc_243,0.5,0.7966101694915254,0.7966101694915254,1.0,1,1,2.774694783573807e-05,27.74694783573807,0.9591836734693877,0.8245614035087719,0.8867924528301887,2,57,0,57,0.820112943649292,3.799465412157588e-05
Misc_387,0.5,0.7435897435897436,0.7435897435897436,1.0,1,1,5.925013035028677e-05,59.25013035028677,0.8529411764705882,0.8529411764705882,0.8529411764705882,5,34,1,34,0.8562527894973755,9.061229502549395e-05
Misc_258,0.5,1.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1.0,0,10,0,10,0.9652968645095825,2.227236279850331e-07
Misc_95,0.5,0.8275862068965517,0.8275862068965517,1.0,1,1,9.550186228631458e-05,95.50186228631458,0.9056603773584906,0.9056603773584906,0.9056603773584906,5,53,0,53,0.8772707581520081,0.00010048279364127666
Misc_277,0.5,0.14864864864864866,0.14864864864864866,0.3333333333333333,1,3,9.245775836164852e-05,92.45775836164852,0.7333333333333333,0.15714285714285714,0.2588235294117647,4,70,0,70,0.2254525125026703,0.00012613696162588894
Misc_116,0.5,0.8666666666666667,0.8666666666666667,1.0,1,1,0.0,0.0,1.0,0.8666666666666667,0.9285714285714286,0,15,0,15,0.8755863904953003,5.733912189498369e-07
Misc_229,0.5,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,54,0,54,0.036429207772016525,4.975520641892217e-05
Misc_145,0.5,0.85,0.85,1.0,2,2,5.6395217685540266e-05,56.39521768554027,0.85,1.0,0.9189189189189189,3,17,0,17,0.9704999327659607,4.6817385737085715e-05
Misc_34,0.5,0.7636363636363637,0.7636363636363637,1.0,1,1,0.0,0.0,1.0,0.7636363636363637,0.865979381443299,0,55,0,55,0.743198037147522,3.0266728572314605e-06
Misc_156,0.5,0.6923076923076923,0.6923076923076923,1.0,1,1,0.00011775788977861517,117.75788977861517,0.72,0.9473684210526315,0.8181818181818181,7,19,1,19,0.9162585735321045,0.00019789976067841053
Misc_209,0.5,0.6521739130434783,0.6521739130434783,1.0,2,2,9.856489512695158e-06,9.856489512695157,0.9375,0.6818181818181818,0.7894736842105263,1,22,0,22,0.7031753659248352,2.3462960598408245e-05
