image_name,ohem_mIoU,cga_mIoU,ohem_Pd,cga_Pd,ohem_Precision,cga_Precision,ohem_FA_ppm,cga_FA_ppm,ohem_FP_components,cga_FP_components,new_fp_pixels,new_fp_components,removed_fp_pixels,removed_fp_components,lost_target_pixels,boundary_excess_pixels,center_peak_prob,center_peak_hit_rate,scale_acc_on_target,local_peak_false_alarm_count,boundary_prob_mean
000790,0.7142857142857143,0.7027027027027027,1.0,1.0,0.8333333333333334,0.7878787878787878,76.2939453125,106.8115234375,0,0,3,3,1,1,0,3,0.6118717193603516,0.5,0.9333333969116211,0,0.6233205795288086
000220,0.6046511627906976,0.5402298850574713,1.0,1.0,0.7428571428571429,0.7121212121212122,274.658203125,289.9169921875,0,0,2,2,1,1,5,2,0.4600011110305786,0.5,0.6470588445663452,0,0.6723579168319702
000216,0.7605633802816901,0.684931506849315,1.0,1.0,0.8852459016393442,0.847457627118644,106.8115234375,137.3291015625,0,0,2,2,0,0,4,2,0.6135455369949341,1.0,0.90625,0,0.7171248197555542
000478,0.9054054054054054,0.8791946308724832,1.0,1.0,0.9370629370629371,0.9290780141843972,137.3291015625,152.587890625,0,0,2,2,1,1,3,2,0.8187594413757324,1.0,1.0,0,0.7572373747825623
000650,0.6976744186046512,0.627906976744186,1.0,1.0,0.8108108108108109,0.7941176470588235,106.8115234375,106.8115234375,0,0,2,2,2,1,3,2,0.6868529915809631,1.0,1.0,0,0.44740548729896545
000233,0.8448275862068966,0.8333333333333334,1.0,1.0,1.0,0.9615384615384616,0.0,30.517578125,0,0,2,2,0,0,3,2,0.5436996221542358,1.0,1.0,0,0.6770480275154114
000225,0.6904761904761905,0.6785714285714286,1.0,1.0,0.8055555555555556,0.8028169014084507,213.623046875,213.623046875,0,0,2,2,2,2,3,2,0.5969572067260742,1.0,0.985714316368103,0,0.7686842083930969
000840,0.7674418604651163,0.7111111111111111,1.0,1.0,0.9166666666666666,0.8648648648648649,45.7763671875,76.2939453125,0,0,2,2,0,0,2,2,0.777649998664856,1.0,1.0,0,0.6696650385856628
000188,0.847457627118644,0.7868852459016393,1.0,1.0,0.9090909090909091,0.8727272727272727,76.2939453125,106.8115234375,0,0,2,2,0,0,2,2,0.5188291072845459,1.0,0.31481480598449707,0,0.6244956254959106
000744,0.7236842105263158,0.7272727272727273,1.0,1.0,0.873015873015873,0.8615384615384616,122.0703125,137.3291015625,0,0,2,2,1,1,2,2,0.4415317177772522,0.0,0.8382353186607361,0,0.6012961268424988
000665,0.7441860465116279,0.6666666666666666,1.0,1.0,0.8648648648648649,0.8108108108108109,76.2939453125,106.8115234375,0,0,2,2,0,0,2,2,0.8146877288818359,1.0,1.0,0,0.6437357664108276
000694,0.6909090909090909,0.6491228070175439,1.0,1.0,0.8085106382978723,0.7708333333333334,137.3291015625,167.8466796875,0,0,2,2,0,0,2,2,0.47551441192626953,0.0,0.5,0,0.6274784207344055
000202,0.6571428571428571,0.6428571428571429,1.0,1.0,0.7931034482758621,0.7894736842105263,183.10546875,183.10546875,0,0,2,2,2,1,2,2,0.37660032510757446,0.0,0.931034505367279,0,0.6711246967315674
000640,0.7297297297297297,0.6410256410256411,1.0,1.0,0.84375,0.78125,76.2939453125,106.8115234375,0,0,2,2,0,0,2,2,0.681074321269989,1.0,1.0,0,0.6379876732826233
