image_id,component_count,fp_component_pixels,boundary_excess_pixels,detached_far_fp_pixels,target_pixels
001271,0,0,4,0,80
000851,0,0,2,0,42
000848,0,0,6,0,42
001016,0,0,2,0,86
001100,0,0,6,0,83
000004,0,0,0,0,9
001208,0,0,0,0,9
000099,0,0,2,0,30
000073,0,0,0,0,9
000049,0,0,0,0,9
000158,0,0,9,0,42
001279,0,0,9,0,35
000063,0,0,0,0,9
001181,0,0,0,0,9
000515,0,0,5,0,131
001054,0,0,1,0,79
000844,0,0,13,0,40
001177,0,0,0,0,27
000934,0,0,0,0,41
000663,0,0,9,0,38
000841,0,0,6,0,40
000205,0,0,8,0,60
000911,0,0,2,0,45
000211,0,0,7,0,62
000267,0,0,0,0,126
000379,0,0,0,0,5
000168,0,0,7,0,46
000301,0,0,0,0,65
001061,0,0,4,0,63
001299,0,0,2,0,71
000818,0,0,5,0,18
001070,0,0,3,0,55
001305,0,0,1,0,16
001095,0,0,1,0,44
000695,1,3,5,3,23
000375,0,0,0,0,10
000061,0,0,0,0,36
000669,0,0,13,0,40
000325,0,0,0,0,15
000864,0,0,1,0,46
000174,0,0,5,0,48
000347,0,0,0,0,5
000748,0,0,5,0,70
000946,0,0,2,0,78
001274,0,0,0,0,58
001059,0,0,1,0,50
000253,0,0,2,0,55
000679,1,9,18,9,40
001041,0,0,1,0,61
000999,0,0,2,0,73
000794,0,0,1,0,15
000576,0,0,1,0,54
001094,0,0,2,0,66
000635,0,0,11,0,28
000825,0,0,2,0,19
000013,0,0,0,0,18
000627,0,0,7,0,30
000487,0,0,3,0,65
001201,0,0,0,0,9
000457,0,0,7,0,145
000916,0,0,3,0,75
000030,0,0,0,0,9
000109,0,0,2,0,32
000693,0,0,4,0,23
000183,0,0,4,0,51
000467,0,0,1,0,104
001164,0,0,0,0,9
001258,0,0,0,0,54
000970,0,0,1,0,61
000263,0,0,0,0,62
000858,0,0,4,0,45
000668,0,0,8,0,40
000526,0,0,0,0,33
000736,0,0,8,0,62
001146,0,0,0,0,9
000247,0,0,0,0,98
000367,0,0,0,0,5
000050,0,0,0,0,9
000773,0,0,7,0,26
000318,0,0,1,0,56
001163,0,0,0,0,9
001159,0,0,0,0,9
001306,0,0,4,0,12
001310,0,0,2,0,13
000571,0,0,7,0,80
001031,0,0,1,0,73
000461,0,0,0,0,56
000652,0,0,8,0,35
000444,0,0,6,0,149
001194,0,0,0,0,9
001156,0,0,0,0,9
000014,0,0,0,0,9
000250,0,0,1,0,83
000134,0,0,6,0,38
001301,0,0,2,0,65
000768,0,0,2,0,26
000823,0,0,4,0,38
000040,0,0,0,0,9
000891,0,0,1,0,47
000561,0,0,0,0,62
001200,0,0,0,0,9
001233,0,0,0,0,9
000119,0,0,5,0,34
001324,0,0,4,0,32
000793,0,0,2,0,15
000293,0,0,7,0,80
000143,0,0,8,0,40
001011,0,0,2,0,75
000834,0,0,9,0,40
000095,0,0,1,0,14
000017,0,0,0,0,9
001116,0,0,0,0,18
000653,0,0,3,0,36
000755,0,0,8,0,26
000705,0,0,8,0,50
000723,0,0,8,0,56
000738,0,0,5,0,64
001266,0,0,3,0,62
000364,0,0,0,0,15
000791,0,0,6,0,30
000048,0,0,0,0,36
000228,0,0,9,0,72
000956,0,0,2,0,84
000570,0,0,0,0,71
000116,0,0,5,0,34
000350,0,0,0,0,5
000276,0,0,3,0,98
001022,0,0,0,0,60
000369,0,0,0,0,5
001225,0,0,0,0,9
000129,0,0,5,0,19
000947,0,0,1,0,67
000800,0,0,7,0,32
000154,0,0,7,0,42
001168,0,0,0,0,9
000602,0,0,12,0,58
000210,0,0,13,0,62
001284,0,0,0,0,46
000534,0,0,0,0,19
000814,0,0,6,0,36
000846,0,0,11,0,42
001132,0,0,0,0,9
000257,0,0,1,0,69
000688,0,0,6,0,43
001056,0,0,0,0,74
000430,0,0,2,0,112
000900,0,0,1,0,55
000471,0,0,3,0,83
000833,0,0,5,0,20
000171,0,0,3,0,23
000567,0,0,0,0,55
001043,0,0,6,0,63
000798,0,0,11,0,28
001085,0,0,1,0,50
000895,0,0,2,0,45
001121,0,0,0,0,18
000979,0,0,4,0,51
000363,0,0,0,0,5
000311,0,0,1,0,52
000229,0,0,8,0,72
000234,0,0,2,0,58
001073,0,0,7,0,86
000716,0,0,10,0,54
001005,0,0,1,0,38
001119,0,0,0,0,9
001327,0,0,0,0,33
000754,0,0,5,0,13
000245,0,0,0,0,65
000780,0,0,7,0,14
000277,0,0,2,0,98
001052,0,0,1,0,61
000856,0,0,1,0,22
000871,0,0,2,0,76
000531,0,0,0,0,20
000472,0,0,2,0,71
000083,0,0,0,0,9
000274,0,0,7,0,71
000147,0,0,9,0,40
000096,0,0,4,0,30
000152,0,0,12,0,40
001158,0,0,0,0,27
000453,0,0,19,0,125
000057,0,0,0,0,9
000411,0,0,0,0,14
000388,0,0,0,0,5
000082,0,0,0,0,9
000655,0,0,7,0,36
000962,0,0,3,0,51
001086,0,0,0,0,60
000539,0,0,0,0,21
000381,0,0,0,0,5
000527,0,0,0,0,17
000309,0,0,1,0,69
000065,0,0,0,0,9
000418,0,0,0,0,32
000306,0,0,1,0,83
000469,0,0,0,0,65
000088,0,0,0,0,9
001007,0,0,2,0,64
000690,0,0,2,0,22
000686,0,0,6,0,42
000428,0,0,2,0,98
000605,0,0,10,0,14
001067,0,0,5,0,78
001025,0,0,3,0,44
001245,0,0,0,0,9
001045,0,0,2,0,79
000767,0,0,8,0,26
000728,0,0,5,0,58
001065,0,0,4,0,67
000540,0,0,0,0,18
000658,0,0,6,0,38
000549,0,0,2,0,54
000522,0,0,4,0,163
000978,0,0,4,0,68
000317,0,0,3,0,83
000117,0,0,9,0,34
000184,0,0,9,0,52
000631,0,0,2,0,15
000459,0,0,12,0,72
000804,0,0,7,0,32
000819,0,0,7,0,36
001048,0,0,5,0,32
000271,0,0,3,0,58
000358,0,0,0,0,10
000670,0,0,3,0,20
000145,0,0,3,0,20
000118,0,0,4,0,34
000239,0,0,13,0,138
000126,0,0,1,0,18
000115,0,0,8,0,33
001171,0,0,0,0,9
000497,0,0,3,0,129
000847,0,0,12,0,42
000462,0,0,3,0,72
000604,0,0,8,0,14
000223,0,0,7,0,34
000810,0,0,7,0,34
000938,0,0,3,0,84
000460,0,0,3,0,58
001001,0,0,0,0,28
001108,0,0,0,0,9
000826,0,0,8,0,38
001252,0,0,1,0,56
000981,0,0,0,0,66
000429,0,0,1,0,112
001277,0,0,1,0,65
001080,0,0,3,0,72
000707,0,0,9,0,50
000221,0,0,12,0,68
000265,0,0,0,0,56
000672,0,0,7,0,40
000752,0,0,0,0,18
000481,0,0,4,0,160
000384,0,0,0,0,20
000236,0,0,0,0,62
000125,0,0,3,0,36
000892,0,0,2,0,44
000238,0,0,2,0,83
000639,0,0,2,0,16
000914,0,0,0,0,50
000432,0,0,3,0,130
000489,0,0,5,0,123
000513,0,0,2,0,163
000114,0,0,3,0,16
000719,0,0,7,0,56
000643,0,0,5,0,32
000994,0,0,1,0,27
000712,0,0,11,0,53
000242,0,0,11,0,134
001207,0,0,0,0,18
000201,0,0,8,0,58
001312,0,0,0,0,56
000524,0,0,4,0,20
000198,0,0,8,0,56
000543,0,0,1,0,20
000028,0,0,0,0,9
001323,0,0,6,0,55
000331,0,0,0,0,20
000222,0,0,5,0,34
000869,0,0,4,0,64
000692,0,0,3,0,44
000842,0,0,3,0,20
000795,0,0,9,0,30
001078,0,0,2,0,60
000896,0,0,3,0,26
000052,0,0,0,0,9
001256,0,0,3,0,56
000292,0,0,1,0,117
000070,0,0,0,0,9
000443,0,0,4,0,65
000343,0,0,0,0,5
000504,0,0,3,0,116
000203,0,0,5,0,58
000204,0,0,6,0,60
000943,0,0,6,0,78
000886,0,0,2,0,55
000337,0,0,0,0,5
000146,0,0,7,0,40
000778,0,0,9,0,28
001051,0,0,2,0,61
000121,0,0,9,0,36
000196,0,0,3,0,28
000647,0,0,6,0,34
001182,0,0,0,0,9
000972,0,0,3,0,38
000750,0,0,0,0,9
000568,0,0,2,0,58
000585,0,0,1,0,65
000925,0,0,1,0,61
001295,24,159,0,159,19
000280,0,0,1,0,58
000741,0,0,10,0,64
000360,0,0,0,0,5
000969,0,0,5,0,63
000042,0,0,0,0,9
000087,0,0,0,0,9
000975,0,0,1,0,40
000877,0,0,0,0,28
000942,0,0,1,0,32
000998,0,0,0,0,53
000356,0,0,0,0,5
000697,0,0,8,0,46
000403,0,0,0,0,13
000208,0,0,3,0,31
000514,3,39,0,39,71
000401,0,0,2,0,27
000248,0,0,2,0,60
000758,0,0,7,0,26
001192,0,0,0,0,9
001282,0,0,7,0,19
000876,0,0,0,0,58
000764,0,0,7,0,28
000445,0,0,3,0,61
000865,0,0,5,0,24
000564,0,0,9,0,98
000149,0,0,5,0,40
000584,0,0,19,0,55
001019,0,0,1,0,38
001017,0,0,1,0,74
000308,0,0,0,0,83
001318,0,0,4,0,39
000018,0,0,0,0,9
000056,0,0,0,0,9
000232,0,0,0,0,56
000777,0,0,5,0,28
000328,0,0,0,0,5
001217,0,0,0,0,18
001219,0,0,0,0,18
000577,0,0,0,0,65
000383,0,0,0,0,5
001276,0,0,0,0,58
000929,0,0,3,0,44
000354,0,0,0,0,5
000029,0,0,0,0,9
001118,0,0,0,0,9
000006,0,0,0,0,9
000105,0,0,13,0,28
000486,0,0,4,0,80
000074,0,0,0,0,9
000275,0,0,0,0,83
001189,0,0,0,0,9
000612,0,0,9,0,15
000008,0,0,0,0,27
001093,0,0,4,0,55
000034,0,0,0,0,9
000949,0,0,3,0,40
000039,0,0,0,0,9
001138,0,0,0,0,18
000677,0,0,8,0,40
001198,0,0,0,0,27
000696,0,0,7,0,46
001230,0,0,0,0,27
000590,0,0,6,0,80
001243,0,0,0,0,18
000323,0,0,6,0,124
001032,0,0,5,0,88
000488,0,0,1,0,46
000413,0,0,0,0,29
000700,0,0,11,0,48
000854,0,0,3,0,22
000217,0,0,11,0,64
000101,0,0,4,0,30
000518,0,0,10,0,129
000578,0,0,2,0,80
000950,0,0,3,0,41
000031,0,0,0,0,18
000888,0,0,0,0,44
000256,0,0,6,0,124
000419,0,0,2,0,33
000035,0,0,0,0,9
000872,0,0,1,0,79
001147,0,0,0,0,9
001033,0,0,0,0,35
000991,0,0,3,0,47
001113,0,0,0,0,9
000884,0,0,0,0,35
001292,0,0,0,0,12
000235,0,0,1,0,80
000185,0,0,5,0,52
000404,0,0,10,0,32
001071,0,0,2,0,47
000340,0,0,0,0,5
000387,0,0,0,0,5
000990,0,0,2,0,47
000254,0,0,4,0,131
000953,0,0,7,0,86
000770,0,0,4,0,13
000241,0,0,0,0,117
000559,0,0,0,0,54
000357,0,0,0,0,5
000905,0,0,3,0,75
000068,0,0,0,0,18
000097,0,0,7,0,30
000108,0,0,2,0,16
000618,0,0,9,0,14
000982,0,0,2,0,108
000743,0,0,6,0,66
000279,0,0,0,0,58
000824,0,0,2,0,38
001058,0,0,3,0,61
000681,0,0,8,0,42
001196,0,0,0,0,9
001275,0,0,1,0,54
000760,0,0,6,0,26
000089,0,0,0,0,18
000054,0,0,0,0,27
000624,0,0,6,0,30
000987,0,0,2,0,26
001179,0,0,0,0,9
000338,0,0,0,0,5
000206,0,0,11,0,60
000177,0,0,9,0,50
000565,1,2,1,2,65
001134,0,0,0,0,9
000130,0,0,9,0,38
000952,0,0,1,0,50
001082,0,0,2,0,82
000136,0,0,7,0,38
000551,0,0,0,0,56
000288,0,0,5,0,58
000619,0,0,3,0,14
000852,0,0,5,0,42
001165,0,0,0,0,9
000321,0,0,7,0,115
001231,0,0,0,0,9
000501,0,0,5,0,113
000393,0,0,0,0,5
000372,0,0,0,0,10
000512,0,0,11,0,132
000424,0,0,3,0,141
001211,0,0,0,0,9
000977,0,0,2,0,44
000580,0,0,2,0,58
000626,0,0,6,0,30
000218,0,0,10,0,66
000451,0,0,6,0,135
000566,0,0,0,0,56
000165,0,0,6,0,44
000964,0,0,0,0,60
000407,0,0,1,0,26
000517,0,0,4,0,58
000572,0,0,1,0,54
001027,0,0,1,0,53
001106,0,0,0,0,9
000662,0,0,9,0,38
000102,0,0,2,0,15
000776,0,0,6,0,28
000160,0,0,4,0,42
000072,0,0,0,0,9
001062,0,0,1,0,57
000899,0,0,2,0,46
001091,0,0,6,0,82
000024,0,0,0,0,9
000304,0,0,0,0,55
000753,0,0,3,0,13
000594,0,0,3,0,55
000769,0,0,3,0,13
000464,0,0,2,0,58
000044,0,0,0,0,9
000007,0,0,0,0,9
000438,0,0,4,0,120
001313,0,0,1,0,58
000069,0,0,0,0,27
001187,0,0,0,0,9
000993,0,0,1,0,52
000161,0,0,5,0,42
000505,0,0,5,0,70
001290,0,0,4,0,19
000546,0,0,1,0,46
000258,0,0,0,0,136
001064,0,0,1,0,75
001228,0,0,0,0,9
001115,0,0,0,0,9
000674,0,0,11,0,40
001293,0,0,0,0,56
001269,0,0,1,0,61
001172,0,0,0,0,9
001247,0,0,0,0,9
000667,0,0,6,0,40
000641,0,0,5,0,32
000172,0,0,10,0,47
000503,0,0,3,0,113
000181,0,0,11,0,50
000726,0,0,8,0,58
000033,0,0,0,0,9
000437,0,0,4,0,83
001263,0,0,2,0,98
000989,0,0,4,0,41
000376,0,0,0,0,5
000959,0,0,4,0,44
000491,0,0,3,0,136
001090,0,0,1,0,60
000530,0,0,1,0,20
001104,0,0,2,0,40
000796,0,0,2,0,15
000290,0,0,1,0,60
000179,0,0,9,0,50
000868,0,0,9,0,48
000264,0,0,0,0,58
000327,0,0,0,0,5
000657,0,0,10,0,38
000442,0,0,6,0,110
001035,0,0,4,0,32
001136,0,0,0,0,9
000251,0,0,3,0,71
000342,0,0,0,0,20
000098,0,0,3,0,15
001166,0,0,0,0,9
000829,0,0,4,0,19
001049,0,0,1,0,40
000104,0,0,6,0,30
000402,0,0,0,0,12
000339,0,0,0,0,15
000427,0,0,0,0,65
000078,0,0,0,0,9
001014,0,0,1,0,64
000139,0,0,8,0,38
001152,0,0,0,0,9
000479,0,0,2,0,58
000175,0,0,4,0,24
000435,0,0,3,0,120
001072,0,0,3,0,72
000246,0,0,9,0,69
000414,0,0,0,0,27
000638,0,0,5,0,32
000904,0,0,1,0,49
001321,0,0,3,0,37
000396,0,0,0,0,5
000094,0,0,9,0,28
000805,0,0,2,0,16
000005,0,0,0,0,9
001316,0,0,1,0,56
001046,0,0,1,0,38
000586,0,0,20,0,80
001226,0,0,0,0,27
000079,0,0,0,0,9
000725,0,0,5,0,58
001296,0,0,6,0,80
000827,0,0,8,0,38
000103,0,0,3,0,15
001099,0,0,9,0,88
001205,0,0,0,0,9
000368,0,0,0,0,5
000278,0,0,0,0,55
000190,0,0,11,0,53
000544,0,0,1,0,49
001260,0,0,1,0,58
000997,0,0,1,0,31
000431,0,0,1,0,54
000919,0,0,3,0,41
001197,0,0,0,0,9
001030,0,0,6,0,68
001173,0,0,0,0,18
000454,0,0,0,0,56
001157,0,0,0,0,9
000164,0,0,2,0,44
001037,0,0,6,0,78
000077,0,0,0,0,9
000642,0,0,6,0,32
000828,0,0,6,0,38
000675,0,0,10,0,40
000702,0,0,12,0,49
000310,0,0,0,0,61
000797,0,0,6,0,15
000739,0,0,7,0,64
000123,0,0,7,0,35
001270,0,0,3,0,65
001170,0,0,0,0,9
001117,0,0,0,0,9
000857,0,0,4,0,44
000477,0,0,3,0,83
000180,0,0,9,0,50
001130,0,0,0,0,9
000958,0,0,0,0,66
000855,0,0,6,0,44
001109,0,0,0,0,9
001009,0,0,3,0,66
000199,0,0,7,0,28
001203,0,0,0,0,9
000676,0,0,3,0,40
000132,0,0,4,0,38
000441,0,0,2,0,69
001261,0,0,2,0,72
000878,0,0,0,0,41
000283,0,0,3,0,80
000408,0,0,4,0,16
000244,0,0,3,0,83
000322,0,0,1,0,71
001105,0,0,0,0,18
000932,0,0,4,0,76
