image_name,candidate_pixels,target_leakage_pixels,target_protect_pixels,boundary_protect_pixels,ohem_negative_pixels,ohem_overlap_pixels,ohem_overlap_fraction,far_hard_logit_mean,far_hard_prob_mean
001194,325,0,9,72,655,56,0.1723076923076923,-14.99509334564209,3.964906056808104e-07
001156,326,0,9,63,655,177,0.5429447852760736,-14.248106002807617,8.733707659303036e-07
000014,325,0,9,72,655,94,0.28923076923076924,-14.67900276184082,1.2620820371012087e-06
000250,322,0,83,239,654,322,1.0,-12.266878128051758,6.440208380809054e-06
000134,323,0,38,172,654,303,0.9380804953560371,-12.551484107971191,7.095544788171537e-06
001301,323,0,65,192,654,323,1.0,-8.156475067138672,0.0005218031001277268
000768,323,0,26,154,655,277,0.8575851393188855,-13.070284843444824,2.4150588160409825e-06
000823,322,0,38,186,654,151,0.468944099378882,-13.514833450317383,1.546087105452898e-06
000040,325,0,9,72,655,325,1.0,-12.01373291015625,6.5617068685241975e-06
000891,323,0,47,197,654,323,1.0,-11.418346405029297,1.4974948499002494e-05
000561,323,0,62,186,654,323,1.0,-11.012800216674805,2.381499325565528e-05
001200,325,0,9,72,655,299,0.92,-12.931598663330078,4.024867394036846e-06
001233,325,0,9,72,655,325,1.0,-12.318503379821777,6.203686552908039e-06
000119,322,0,34,186,655,322,1.0,-9.80343246459961,5.93289514654316e-05
001324,324,0,32,141,655,324,1.0,-11.248973846435547,1.9983706806669943e-05
000793,326,0,15,57,655,326,1.0,-12.765226364135742,4.406168955028988e-06
000293,323,0,80,211,654,323,1.0,-11.604308128356934,1.1291566806903575e-05
000143,322,0,40,186,654,307,0.953416149068323,-12.600263595581055,5.346882971934974e-06
001011,322,0,75,225,654,322,1.0,-12.40184497833252,4.863128197030164e-06
000834,322,0,40,210,654,322,1.0,-12.74120807647705,2.6483838155400008e-05
000095,325,0,14,84,655,325,1.0,-11.482375144958496,1.3130533261573873e-05
000017,325,0,9,72,655,139,0.4276923076923077,-14.474671363830566,1.0915820212176186e-06
001116,323,0,18,144,655,259,0.8018575851393189,-13.193670272827148,2.5548204121150775e-06
000653,322,0,36,180,655,322,1.0,-11.70838737487793,1.3109141036693472e-05
000755,322,0,26,174,655,322,1.0,-12.0816011428833,6.241631581360707e-06
000705,322,0,50,204,654,322,1.0,-12.385512351989746,5.1163397074560635e-06
000723,322,0,56,204,654,322,1.0,-13.716444969177246,1.3290496099216398e-06
000738,321,0,64,228,654,321,1.0,-10.355348587036133,3.423425732762553e-05
001266,323,0,62,186,654,323,1.0,-9.057880401611328,0.00015492583042941988
000364,321,0,15,216,655,301,0.9376947040498442,-12.842812538146973,3.3172186704177875e-06
000791,322,0,30,168,655,154,0.4782608695652174,-13.480972290039062,1.7481156646681484e-06
000048,319,0,36,288,655,299,0.9373040752351097,-13.493428230285645,1.7903525986184832e-06
000228,321,0,72,234,654,305,0.9501557632398754,-12.792898178100586,7.279875717358664e-06
